,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,46.373151540756226,,,,,,,,,,,,,,,,,,,,,,,1194.0,24.0,24.0,28574.0,240.0
1,,,,,,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:18)len=6:b'\x00\x00\x00\x00\x00\x94\x92@\x00\x00\x00\x00\x00\x14\x90@\x00\x00\x00\x00\x00\xa8\x8b@\x00\x00\x00\x00\x00\xa8\x8b@\x00\x00\x00\x00\x00\xc0\x8c@\x00\x00\x00\x00\x00\x08\x90@',6.0,2.382603883743286,4.515232563018799,6.196181058883667,0.22916460037231445,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.012130184305354726,0.0004369726534568508,,0.0,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:18)len=6,0.0,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:18)len=6,0.012130184305354726,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (7:9)len=3,0.0004369726534568508,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:19)len=7,,,,,,,
3,,,,,,,,,,,,,0.0,0.013678568212755364,0.0005561470134905382,,0.0004369726534568508,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:19)len=7,0.0004369726534568508,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:19)len=7,0.014115540866212214,(3139d32c-93cd-49bf-ac94-1cf0dc98d2c1)_(1): (19:21)len=3,0.000993119666947389,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (12:18)len=7,,,,,,,
4,,,,,,,,,,,,,0.0006594314588530645,0.02030642817670291,2.1668065460654553e-06,,0.000993119666947389,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (12:18)len=7,0.0016525511258004535,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:20)len=8,0.0212995478436503,(47378190-96da-4dac-a2ff-5d2a386ecbe0)_(1): (8:10)len=3,0.0009952864734934545,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:17)len=5,,,,,,,
5,,,,,,,,,,,,,0.0014077982886080392,0.022565043118647748,0.0003568008112523728,,0.0009952864734934545,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (13:17)len=5,0.0024030847621014937,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (12:20)len=9,0.023560329592141202,(b74d0fb1-32e7-4629-afad-c1a606cb0fb3)_(1): (6:8)len=3,0.0013520872847458273,(1e2595b8-8fc9-486b-a9dd-ebf563119aca)_(7): (13:17)len=5,,,,,,,
6,,,,,,,,,,,,,0.0012763006462655302,0.029370489502693588,0.00010864987109564543,,0.001327942868946794,(96792482-a3c9-48e4-ad22-38e6c7bf4fbc)_(7): (12:19)len=8,0.002604243515212324,(af475b49-c775-4395-a494-05f02cd2a404)_(7): (13:20)len=8,0.030698432371640383,(e2acf72f-9e57-4f7a-a0ee-89aed453dd32)_(1): (18:20)len=3,0.0014365927400424394,(cc1b4157-ec9f-4c54-ae0a-72ab7f5db163)_(7): (13:17)len=5,,,,,,,
7,,,,,,"[0.10669283 0.09316257 0.0757075  0.07808304 0.09719066 0.11247676]:b""f\xc3i\xb08P\xbb?\x9eU%\x8e\x80\xd9\xb7?0j\xe8\r\x91a\xb3?\xf9<'\n@\xfd\xb3?Axn\xbf|\xe1\xb8?\xe1\xda\r\xeaF\xcb\xbc?""",6.0,2.5286169052124023,4.588792562484741,5.561895847320557,0.21998119354248047,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.001445043285572102,0.011255917990063827,0.0,,0.0019530149668550824,(ad973b67-9b89-45cb-a942-644c248d31ec)_(7): (14:18)len=5,0.0033980582524271844,(5a5226e6-9d64-4932-a066-853d6de299a1)_(6): (13:16)len=4,0.01320893295691891,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (7:9)len=3,0.0019530149668550824,(ad973b67-9b89-45cb-a942-644c248d31ec)_(7): (14:18)len=5,,,,,,,
9,,,,,,,,,,,,,0.0010385824783676473,0.013685189010535018,0.0,,0.0024271844660194164,(e2c328aa-3310-4475-aa86-22250b36e356)_(7): (13:18)len=6,0.0034657669443870637,(5a5226e6-9d64-4932-a066-853d6de299a1)_(6): (13:15)len=3,0.016112373476554434,(47378190-96da-4dac-a2ff-5d2a386ecbe0)_(1): (8:10)len=3,0.0024271844660194164,(e2c328aa-3310-4475-aa86-22250b36e356)_(7): (13:18)len=6,,,,,,,
