,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,8.65262246131897,519.5021884441376,,,,,,,,,,,,,,,,,,,,,,30.0,128.0,128.0,3840.0,6.0
1,,,,,,"(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41:b'\xe5\xd0""\xdb\xf9~\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\'1\x08\xac\x1cZ\xf2\xbf\x91\xed|?5^\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbfP\x8d\x97n\x12\x83\xf2\xbf\xbaI\x0c\x02+\x87\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbfffffff\xf2\xbf\x91\xed|?5^\xf2\xbfffffff\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\'1\x08\xac\x1cZ\xf2\xbfR\xb8\x1e\x85\xebQ\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbfR\xb8\x1e\x85\xebQ\xf2\xbfffffff\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf'",41.0,3.2850182056427,0.3036637306213379,0.31436586380004883,0.2940664291381836,1.0212042331695557,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,7.275358375492149e-05,4.017032216597894e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (50:89)len=40,4.017032216597894e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (50:89)len=40,4.017032216597894e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (50:89)len=40,4.017032216597894e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (50:89)len=40,0.00011292390592090043,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (48:88)len=41,,,,,
4,,,,,,,,,,,,,0.0,0.0,0.0,4.6885982612234644e-05,7.936678234973042e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (48:89)len=42,7.936678234973042e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (48:89)len=42,7.936678234973042e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (48:89)len=42,7.936678234973042e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (48:89)len=42,0.00012625276496196507,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (50:90)len=41,,,,,
5,,,,,,,,,,,,,0.0,0.0,0.0,0.00018146266130094683,8.03406443319764e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:88)len=40,8.03406443319764e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:88)len=40,8.03406443319764e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:88)len=40,8.03406443319764e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:88)len=40,0.0002618033056329232,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (51:91)len=41,,,,,
6,,,,,,,,,,,,,2.2540681047431162e-05,2.2540681047431162e-05,2.2540681047431162e-05,0.0002777036746687371,9.038322487346927e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (50:88)len=39,0.00011292390592090043,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (48:88)len=41,0.00011292390592090043,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (48:88)len=41,0.00011292390592090043,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (48:88)len=41,0.00036808689954220635,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (47:87)len=41,,,,,
7,,,,,,,,,,,,,6.126267603713469e-06,6.126267603713469e-06,6.126267603713469e-06,0.00029422902710257465,0.00011292390592090043,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (48:88)len=41,0.0001190501735246139,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:90)len=42,0.0001190501735246139,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:90)len=42,0.0001190501735246139,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:90)len=42,0.0004071529330234751,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (52:92)len=41,,,,,
8,,,,,,,,,,,,,7.202591437351164e-06,7.202591437351164e-06,7.202591437351164e-06,0.00038596088632323434,0.0001190501735246139,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:90)len=42,0.00012625276496196507,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (50:90)len=41,0.00012625276496196507,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (50:90)len=41,0.00012625276496196507,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (50:90)len=41,0.0005050110598478482,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (46:86)len=41,,,,,
9,,,,,,,,,,,,,2.7440348179338762e-05,2.7440348179338762e-05,2.7440348179338762e-05,0.00038658839065926274,0.00012625276496196507,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (50:90)len=41,0.00015369311314130383,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (47:88)len=42,0.00015369311314130383,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (47:88)len=42,0.00015369311314130383,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (47:88)len=42,0.0005128411556212278,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (45:85)len=41,,,,,
