,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,430.95032358169556,31502.945665836334,,,,,,,,,,,,,,,,,,,,,,400.0,80.0,80.0,32000.0,84.0
1,,,,,,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:68)len=21:b'\xb7\xab\x80\x10\x03\xbc\xca\xbfA\xd1\xe1\xc6\xd2l\xd7\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf',21.0,17.980873584747314,0.6623904705047607,0.673105001449585,0.6761338710784912,8.890397071838379,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:50)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:68)len=21,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:68)len=21,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:68)len=21,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:68)len=21,,,,,
3,,,,,,"[0.3682812  0.30238271 0.44908076 0.43303649 0.39419383 0.33165925
 0.28568142 0.22777222 0.16262274 0.0902658  0.08331458 0.11846484
 0.17500088 0.24954566 0.31452433 0.35478614 0.43089462 0.47524305
 0.43218237 0.3788854  0.32741494]:b""\xfbNAQ\xeb\x91\xd7?\xca\x97\xc7\x05=Z\xd3?\x00\xcb\xcf>\xbd\xbd\xdc?\xbd\xe4\x8d\xaa\xde\xb6\xdb?\x1e_\xef\xbfx:\xd9?\xe8Iy\xb8\xe79\xd5?`U\x06\xbb\x9aH\xd2?\x13\xd6#\xe6\xa3'\xcd?\xe8e\x8fj\xd2\xd0\xc4?\xa1\xf1E\xcc\xa8\x1b\xb7?\x1fX\xb1\xb0\x1aT\xb5?\x15\x0028\xb6S\xbe?\xfd\xcb\xc0\xc0mf\xc6?d\xb5\x8b\xb6\x1c\xf1\xcf?\x83,1\xa6*!\xd4?\xeay\xc2\xe8\xd0\xb4\xd6?\xa1\xc3\xf1\x06\xc7\x93\xdb?\xe7\xee\xdc\xd7aj\xde?\xcc\x06\xdd9\xe0\xa8\xdb?u4g\x90\xa8?\xd8?\xb7\x8fW\xcc]\xf4\xd4?""",21.0,17.330543041229248,0.6451900005340576,0.6633901596069336,0.6849703788757324,4.639974117279053,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.0,0.0,0.0,0.0034254510911585507,0.008360883597443587,(edcd465e-3638-4821-a6e0-7cc06c52c49f)_(2): (48:69)len=22,0.008360883597443587,(edcd465e-3638-4821-a6e0-7cc06c52c49f)_(2): (48:69)len=22,0.008360883597443587,(edcd465e-3638-4821-a6e0-7cc06c52c49f)_(2): (48:69)len=22,0.008360883597443587,(edcd465e-3638-4821-a6e0-7cc06c52c49f)_(2): (48:69)len=22,0.011786334688602138,(ce9e1a11-fcbb-4e59-abdd-cf7c9c96e9ec)_(2): (48:68)len=21,,,,,
5,,,,,,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:66)len=14:b'|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf',14.0,17.11668372154236,0.6753814220428467,0.6942181587219238,0.6963233947753906,4.972167730331421,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (69:69)len=1,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (54:68)len=15,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (54:68)len=15,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (54:68)len=15,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (65:78)len=14,,,,,
7,,,,,,"[0.33165925 0.28568142 0.22777222 0.16262274 0.0902658  0.08331458
 0.11846484 0.17500088 0.24954566 0.31452433 0.35478614 0.43089462
 0.47524305 0.43218237]:b""\xe8Iy\xb8\xe79\xd5?`U\x06\xbb\x9aH\xd2?\x13\xd6#\xe6\xa3'\xcd?\xe8e\x8fj\xd2\xd0\xc4?\xa1\xf1E\xcc\xa8\x1b\xb7?\x1fX\xb1\xb0\x1aT\xb5?\x15\x0028\xb6S\xbe?\xfd\xcb\xc0\xc0mf\xc6?d\xb5\x8b\xb6\x1c\xf1\xcf?\x83,1\xa6*!\xd4?\xeay\xc2\xe8\xd0\xb4\xd6?\xa1\xc3\xf1\x06\xc7\x93\xdb?\xe7\xee\xdc\xd7aj\xde?\xcc\x06\xdd9\xe0\xa8\xdb?""",14.0,16.490596771240234,0.621401309967041,0.6283547878265381,0.6477370262145996,4.637292146682739,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0,0.0,0.0,0.004426744481599548,0.007905404607621864,(edcd465e-3638-4821-a6e0-7cc06c52c49f)_(2): (54:67)len=14,0.007905404607621864,(edcd465e-3638-4821-a6e0-7cc06c52c49f)_(2): (54:67)len=14,0.007905404607621864,(edcd465e-3638-4821-a6e0-7cc06c52c49f)_(2): (54:67)len=14,0.007905404607621864,(edcd465e-3638-4821-a6e0-7cc06c52c49f)_(2): (54:67)len=14,0.012332149089221412,(7d154385-52fb-443b-a954-6eb400257ad1)_(2): (53:66)len=14,,,,,
9,,,,,,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:54)len=2:b'|\xe4\xc5x\x83^\xf1\xbf|\xe4\xc5x\x83^\xf1\xbf',2.0,13.086215734481812,0.5950098037719727,0.6268413066864014,0.6504437923431396,4.878579139709473,,,,,,,,,,,,,,,,,,,
