,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,813.5222182273865,350688.8808186054,,,,,,,,,,,,,,,,,,,,,,78.0,288.0,288.0,22228.0,18.0
1,,,,,,"(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:275)len=82:b',\x00\x00\x00\x00\x00\x00\x00\'\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x000\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00 \x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00$\x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00(\x00\x00\x00\x00\x00\x00\x00\x1d\x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00""\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00\x1f\x00\x00\x00\x00\x00\x00\x00""\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00,\x00\x00\x00\x00\x00\x00\x00,\x00\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\x00\x00\x00\x00 \x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\'\x00\x00\x00\x00\x00\x00\x00""\x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00 \x00\x00\x00\x00\x00\x00\x00\x16\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x18\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00\x00\x00\x00\x00\x1d\x00\x00\x00\x00\x00\x00\x00\x16\x00\x00\x00\x00\x00\x00\x00""\x00\x00\x00\x00\x00\x00\x00\x11\x00\x00\x00\x00\x00\x00\x00\x0e\x00\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x18\x00\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x00\x16\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x15\x00\x00\x00\x00\x00\x00\x00 \x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x000\x00\x00\x00\x00\x00\x00\x00\'\x00\x00\x00\x00\x00\x00\x00\x1f\x00\x00\x00\x00\x00\x00\x00""\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x1f\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00,\x00\x00\x00\x00\x00\x00\x00*\x00\x00\x00\x00\x00\x00\x00\x1f\x00\x00\x00\x00\x00\x00\x00$\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00'",82.0,59.14193534851074,1.8598473072052002,1.8329746723175049,1.8334276676177979,16.36859703063965,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:275)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:275)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:275)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:275)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:275)len=82,,,,,
3,,,,,,,,,,,,,2.6093538391001522e-06,2.6093538391001522e-06,2.6093538391001522e-06,0.0035616830791107158,0.0008623894730070335,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:277)len=84,0.0008649988268461336,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:276)len=83,0.0008649988268461336,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:276)len=83,0.0008649988268461336,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:276)len=83,0.004424072552117749,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:276)len=82,,,,,
4,,,,,,,,,,,,,0.0017458693397803945,0.0017458693397803945,0.0017458693397803945,0.005742689704447423,0.0008649988268461336,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:276)len=83,0.0026108681666265282,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:274)len=81,0.0026108681666265282,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:274)len=81,0.0026108681666265282,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:274)len=81,0.0066076885312935565,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (193:274)len=82,,,,,
5,,,,,,,,,,,,,0.0017405787777510099,0.0017405787777510099,0.0017405787777510099,0.005978250528083757,0.0026108681666265282,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:274)len=81,0.004351446944377538,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:275)len=81,0.004351446944377538,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:275)len=81,0.004351446944377538,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:275)len=81,0.008589118694710286,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (196:277)len=82,,,,,
6,,,,,,,,,,,,,5.9198952945776e-05,5.9198952945776e-05,5.9198952945776e-05,0.009476331894981727,0.004351446944377538,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:275)len=81,0.004410645897323314,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:277)len=83,0.004410645897323314,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:277)len=83,0.004410645897323314,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:277)len=83,0.013827778839359265,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (192:273)len=82,,,,,
7,,,,,,,,,,,,,1.3426654794435229e-05,1.3426654794435229e-05,1.3426654794435229e-05,0.009977403277199245,0.004410645897323314,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:277)len=83,0.004424072552117749,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:276)len=82,0.004424072552117749,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:276)len=82,0.004424072552117749,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:276)len=82,0.01438804917452256,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (197:278)len=82,,,,,
8,,,,,,,,,,,,,0.0016309192358052067,0.0016309192358052067,0.0016309192358052067,0.011854146870842911,0.004424072552117749,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:276)len=82,0.006054991787922956,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (193:275)len=83,0.006054991787922956,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (193:275)len=83,0.006054991787922956,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (193:275)len=83,0.01627821942296066,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (191:272)len=82,,,,,
9,,,,,,,,,,,,,0.001906594021501019,0.001906594021501019,0.001906594021501019,0.013436357862596327,0.0047010945097925375,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:273)len=80,0.0066076885312935565,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (193:274)len=82,0.0066076885312935565,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (193:274)len=82,0.0066076885312935565,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (193:274)len=82,0.018137452372388865,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (198:279)len=82,,,,,
