,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,19.34303069114685,1370.8044147491455,,,,,,,,,,,,,,,,,,,,,,100.0,96.0,96.0,9600.0,24.0
1,,,,,,"(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:73)len=21:b""\x17\xef\t\nj\xd5\xd6?\xf3\x9c\xe3\x92\x99A\xc2?G\x8b\xb7\xbe\xdd\xcc\xc8?]]%\x8aV\x8f\xd3?!\x8e\xd8\x9b\xd6\xf5\xb4?u7\xb2\x9f\x836\xc0?\xeeX\x83/\x00\x18\xb8?\x19\x1e\x1ch\x15h\xc2?\xa5M\n0\x82\x7f\xa1?v\x82Ge\xd4F\xc2?{\xfe\x19}\x83\xb1\xb1?{,\x01!'\x06\xcd?\xea\x98\x02\xb8\xaa\x03\xa5?\xc2\\\xbdP\xe1\x04\xca?\x8d\xa4rM`\xbe\xc2?\xee\xf4\xbde\xd2\xcf\xb8?\xdd\xafe\xa6r\xa2\xd4?\xcfr\xba\xdb\xde6\xa4?U\xdd\xc0p\xf0\xfd\xd1?;c\xcaM\xf5\xe0\xc7?mUu\x03\xc3\xe1\xe0?""",21.0,5.108885288238525,0.3089015483856201,0.3175647258758545,0.30490708351135254,1.913773775100708,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0029893803288668377,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:73)len=21,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:73)len=21,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:73)len=21,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:73)len=21,0.0029893803288668377,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (56:76)len=21,,,,,
3,,,,,,,,,,,,,0.00017963864789563382,0.00017963864789563382,0.00017963864789563382,0.004179093949903091,0.0005644106747596109,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (52:73)len=22,0.0007440493226552447,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:74)len=22,0.0007440493226552447,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:74)len=22,0.0007440493226552447,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:74)len=22,0.004743504624662702,(134c6c92-ec5b-427c-afde-4fbf3ff350bf)_(-1): (53:73)len=21,,,,,
4,,,,,,,,,,,,,2.222079587712732e-05,2.222079587712732e-05,2.222079587712732e-05,0.0040213384004268065,0.0007440493226552447,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:74)len=22,0.0007662701185323721,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (54:73)len=20,0.0007662701185323721,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (54:73)len=20,0.0007662701185323721,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (54:73)len=20,0.004765387723082051,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (47:67)len=21,,,,,
5,,,,,,,,,,,,,0.00045392249170645566,0.00045392249170645566,0.00045392249170645566,0.004382907775854203,0.0007662701185323721,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (54:73)len=20,0.0012201926102388277,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:72)len=20,0.0012201926102388277,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:72)len=20,0.0012201926102388277,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (53:72)len=20,0.005149177894386575,(23e2fcb4-72d8-467d-a94a-05e430b187ef)_(1): (46:66)len=21,,,,,
6,,,,,,,,,,,,,0.0007243635031234324,0.0007243635031234324,0.0007243635031234324,0.004391512443740634,0.0007854268714956814,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (55:73)len=19,0.0015097903746191137,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (54:74)len=21,0.0015097903746191137,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (54:74)len=21,0.0015097903746191137,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (54:74)len=21,0.0051769393152363155,(7c441fe7-ab42-40a7-a74a-493b3ceddf2d)_(-1): (75:95)len=21,,,,,
7,,,,,,,,,,,,,0.000570194337352848,0.000570194337352848,0.000570194337352848,0.004515047673454857,0.0009764201927447807,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (50:73)len=24,0.0015466145300976287,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (55:74)len=20,0.0015466145300976287,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (55:74)len=20,0.0015466145300976287,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (55:74)len=20,0.005491467866199638,(134c6c92-ec5b-427c-afde-4fbf3ff350bf)_(-1): (54:74)len=21,,,,,
8,,,,,,,,,,,,,0.0007736368241702829,0.0007736368241702829,0.0007736368241702829,0.004545434106538526,0.00103849868886521,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (51:73)len=23,0.0018121355130354929,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (52:71)len=20,0.0018121355130354929,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (52:71)len=20,0.0018121355130354929,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (52:71)len=20,0.005583932795403737,(23e2fcb4-72d8-467d-a94a-05e430b187ef)_(1): (47:67)len=21,,,,,
9,,,,,,,,,,,,,0.0011124226223762814,0.0011124226223762814,0.0011124226223762814,0.00459172338108829,0.0010728519286308596,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (49:73)len=25,0.002185274551007141,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (50:71)len=22,0.002185274551007141,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (50:71)len=22,0.002185274551007141,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(-1): (50:71)len=22,0.0056645753097191495,(972a8469-1641-4f82-ab9d-2434e465e150)_(-1): (66:86)len=21,,,,,
