,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,722.1956703662872,35191.76438999176,,,,,,,,,,,,,,,,,,,,,,150.0,301.0,301.0,45150.0,30.0
1,,,,,,"(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:275)len=82:b'\x90\x9e\xa6\xbf,\xc7\xe2?k\x91\xdd\x9a\xae\xc6\xe2?2\xf9M\xfez\xc7\xe2?2w\x88\xda\x91\xc5\xe2?0Z\xd3\xfe\xff\xc6\xe2?\xaaD]\x94n\xc5\xe2?E\xe0\xdd\x04\xbe\xc6\xe2?t\xeev\xbd4\xc5\xe2?h\x8eQC\xc0\xc6\xe2?\x9e?\x8eb\x90\xc6\xe2?\xea\x00N\x10\xf1\xc6\xe2?:0\x0c\x9a\x8e\xc7\xe1?\x12AA\xce\xa0\xc6\xe1?C\x96`\xcc\xf1\xc5\xe2?B\xce=\x1c\x0b\xc7\xe2?39s\x17z\xc7\xe2?\x9f\x9a\xe4\xaa&\xc6\xe2?\xaa\x9e\xcc?\xfa\xc6\xe2?+\x15\x128+\xc5\xe2?\x08\x93^\xabo\xc6\xe1?%\xb6\xb3\x96\x9f\xc7\xe1?l^r/r\xc7\xe1?D\xedm\xe9\x87\xc7\xe1?J\x9fon\xc0\xc5\xe2?&\x10\x024B\xc6\xe2?\xc1\xf5\xb4\x05|\xc5\xe2?t2\x06\x10\x1d\xc6\xe2?\x89s\x9a&\xe8\xc6\xe2?7\x9c\xa6\x8d\xf2\xc5\xe2?\x11\xe3\xf3\x92\x18\xc7\xe2?i\x90@\x8b\xbe\xc5\xe2?\xb2\xb3\x8d\xe4\x97\xc6\xe2?apj\xf3A\xc7\xe2?\xfeC<\n\xbe\xc6\xe2?\\\xfd\x1aA\x11\xc8\xe1?`\xa3\xd5^~\xc6\xe2?\x97\x90\xeekM\xc8\xe1?\xb0+\xfb\xe8\xb3\xc7\xe1?\xb4\xc4\xb1\xcbC\xc8\xe1?\xb4\x03\xcf9O\xc7\xe2?\xd7t\x14RD\xc7\xe1?\xdd\x9a\xcf\x14\x95\xc8\xe1?\xfc\xf1\x0bm\x08\xc7\xe1?\xd1\x8e~\xa8\xf2\xc5\xe2?\xab\x9ea\xa4\xf6\xc6\xe1?C,\x8bW\x93\xc6\xe1?\xcfj\xfd\x04\x82\xc6\xe2?\xa5\x0b\xdayU\xc6\xe2?\xcdjh\xa0\x85\xc6\xe1?!$\xc9{\xee\xc7\xe1?\x02_\x97\x02N\xc6\xe1? ]\x8dh\x12\xc7\xe1?\xad\xc5D\xd6\\\xc6\xe1?c Sg\x83\xc6\xe1?=?\xb5\x8fO\xc7\xe2?\xa9gb6\xd8\xc6\xe1?%u\x86\xd2\xac\xc6\xe1?O\x12\xe0.\xda\xc7\xe1?\xb1\xabE\x1b\xb2\xc7\xe1?r\xb9\x87\xa5\xfd\xc6\xe1?\xaf\x99:\x97\xfb\xc7\xe1?\x7f\xdd\x86\xa4X\xc6\xe1?\xdfV\xd5&\xa9\xc7\xe1?\xc0A\xf7\xbcM\xc5\xe2?#\xb4\x0e\xdc\xbb\xc5\xe2?\xad\xb0l(\xad\xc6\xe1?tC\x95\x92\xcc\xc7\xe1?v\xa2\xc9j_\xc5\xe2?\xbc\t|M(\xc7\xe2?\x91\x9d3y5\xc6\xe2?s<\xb0-M\xfb\xf8\xbf\xfb\xba\x1d+B\xfb\xf8\xbf\xc1E\xdd\xbd\x92\xfa\xf8\xbf9K$,\x85\xfb\xf8\xbf\xba\xcf\x96\x18p\xfb\xf8\xbf\xed\xd8\x08\xc4\xeb\xfa\xf8\xbf\n\xaf\x13MV\xfb\xf8\xbf\xbbs\xcd\x89\xe2\xfa\xf8\xbf\xbf\xf0J\x92\xe7\xfa\xf8\xbf\x98\x0c\xb6\xc7\xc1\xfb\xf8\xbf\xa0\x98\x06\x8f\x80\xfb\xf8\xbf\xf3\xad\x0f\xeb\x8d\xfa\xf8\xbf'",82.0,132.045471906662,2.669761896133423,2.653385639190674,2.623246431350708,22.485883712768555,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0004728654384216972,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:275)len=82,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:275)len=82,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:275)len=82,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:275)len=82,0.0004728654384216972,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (203:284)len=82,,,,,
3,,,,,,,,,,,,,1.368741602624336e-06,1.368741602624336e-06,1.368741602624336e-06,0.000667208481519455,1.1306629500698602e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:275)len=80,2.499404552694196e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:274)len=81,2.499404552694196e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:274)len=81,2.499404552694196e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:274)len=81,0.0006683391444695249,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (204:285)len=82,,,,,
4,,,,,,,,,,,,,7.784629538146191e-07,7.784629538146191e-07,7.784629538146191e-07,0.0008828567990735978,1.8584294326961437e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:271)len=78,2.636892386510763e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:278)len=83,2.636892386510763e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:278)len=83,2.636892386510763e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:278)len=83,0.0008847152285062939,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (205:286)len=82,,,,,
5,,,,,,,,,,,,,6.860154626694955e-07,6.860154626694955e-07,6.860154626694955e-07,0.0016348610723562948,1.95806125912303e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (198:275)len=78,2.6440767217925255e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:277)len=82,2.6440767217925255e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:277)len=82,2.6440767217925255e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:277)len=82,0.0016368191336154179,(1825bc54-30be-445f-a835-14f2ceb81f9d)_(2): (204:285)len=82,,,,,
6,,,,,,,,,,,,,6.78062313628913e-07,6.78062313628913e-07,6.78062313628913e-07,0.0016570902655074996,2.072622572830941e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:272)len=79,2.750684886459854e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:276)len=81,2.750684886459854e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:276)len=81,2.750684886459854e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:276)len=81,0.0016591628880803305,(504867ba-bf7b-439b-af9a-ea4b8acd4e10)_(2): (205:286)len=82,,,,,
7,,,,,,,,,,,,,8.860757759361266e-07,8.860757759361266e-07,8.860757759361266e-07,0.001665205229761916,2.19277031803399e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (196:271)len=76,3.0788460939701164e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (198:279)len=82,3.0788460939701164e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (198:279)len=82,3.0788460939701164e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (198:279)len=82,0.00166739800007995,(1825bc54-30be-445f-a835-14f2ceb81f9d)_(2): (205:286)len=82,,,,,
8,,,,,,,,,,,,,1.5668817650622989e-06,1.5668817650622989e-06,1.5668817650622989e-06,0.0016702587110184759,2.366888998470647e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:279)len=86,3.933770763532946e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (200:281)len=82,3.933770763532946e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (200:281)len=82,3.933770763532946e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (200:281)len=82,0.0016726256000169466,(504867ba-bf7b-439b-af9a-ea4b8acd4e10)_(2): (204:285)len=82,,,,,
9,,,,,,,,,,,,,1.8821025802440177e-06,1.8821025802440177e-06,1.8821025802440177e-06,0.0016863092495370577,2.372721283254282e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (194:278)len=85,4.2548238634982995e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (202:283)len=82,4.2548238634982995e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (202:283)len=82,4.2548238634982995e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (202:283)len=82,0.001688681970820312,(1825bc54-30be-445f-a835-14f2ceb81f9d)_(2): (206:287)len=82,,,,,
