,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,65.67112493515015,11427.707478761673,,,,,,,,,,,,,,,,,,,,,,28.0,301.0,301.0,8428.0,6.0
1,,,,,,"(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:179)len=82:b']\xccdrI\xd9\xee?\xba\xbb\x10\xa3\xce\xd9\xee?\xb3\xb8Z\x82\xe7\xd9\xee?\x16T\xaf\xb6\xbd\xd8\xee?\x1c}i\xddH\xf1\xed?Q\xf5L\xab\xf8\xf1\xed?\xd8\xe0T\xd6\xfc\xd9\xee?\xf5\xa9:\x16\xa1\xd9\xee?\xc1)A\xb9L\xf1\xed?\xaaF\xf1""\xfa\xf2\xed?Ccy\x99Y\xf2\xed?\x19\xc1\xcef8\xf2\xed?\xf618\xad\x88\xd8\xee?\xf8\x1d\xfd\x0e\xc9\xd9\xee?\xfc3\xa4\x06\xaa\xf1\xed?\xcf\x06\x05J\xaf\xf2\xed?{[<\xfe\x03\xf3\xed?\x03\t\xab-L\xf1\xed?\x0e\x16N\xd2\xfc\xf1\xed?\xa9)\xb0\x9d{\xf1\xed?\xd3\x1a\xbd\xf9\x91\x0b\xed?0\xd9\x99\xbe\xae\xf1\xed?4\xdf\x1c\t\x8f\xf1\xed?$N\xbc=\xe7\xf2\xed?\x86\xdd^o\xee\xf1\xed?\xe4\xb0f*\xe5\xf1\xed?\x12\x02\xa8\x989\xf3\xed?\xdbR\xc5\\k\xf2\xed?\xf4\xe0\xac\x90\x0b\xf1\xed?L\xc4|\xf5\xc8\xf1\xed?\xad~\x95\x11Q\x0b\xed?wc\xc5\x99\xf4\xf1\xed?\xde\x08\x07R\x94\xf1\xed?24\x85kA\xf1\xed?\xa1\x97Y\x9d\xff\x0b\xed?[PJ\xce\xaa\x0b\xed?\xe3\xbe\x9b\x8f\xe7\n\xed?-\xd3\xab\xd8\xca\xf1\xed?A\x85\xe1+\xd3\xf2\xed?\xf5\x8d\\\xf5\x88\n\xed?Y\xfe\x191\xf5\x0b\xed?LXU\x0e\xb1\n\xed?\xcc:\xebl+\n\xed?\xc8Zd\xb7\xa6\x0b\xed?\x1c\x19\x16i\x03\x0c\xed?-\x11\x7f\x7f\x10\n\xed?<\x8b\x18U\n\n\xed?t\xe7\xec\x11(\n\xed?X\x1b\xa5C\x8e\n\xed?\xc5\x13I\r\xd0\n\xed?\xf9*}\x11\x02\x0c\xed?\xc2\xc5\xc4\xc5\xd5\xf1\xed?\xb1D\xf3B2\x0b\xed?\x14R\x86\xc35\x0b\xed?\x16\\\xde\xe2\x02\x0c\xed?\xb6^\xdb\xf4\xca\t\xed?\xd7M\xe7\x92\xc3\n\xed?5Q\xf8*\x01\n\xed?\'\xe6r\xe6\xcb\t\xed?\xa2\x14\x84]\xda\xf1\xed?\xea\xb9\x9eK\xe5\x0b\xed?[\xcd\x9d\r\xb7\x0b\xed?\x19#\x8eL\xf2\t\xed?=\xb9\xc7NO\n\xed?\xbdX\xd6\x05\xd5\t\xed?\x1c\x0c\xf1\x1f=\x0b\xed?\xfd\xcb\x83.\xc0""\xec?\x7f\x01\xb5\xff\x9e\x0b\xed?\x83\xf8#\xb9\xba\x0b\xed?\x10\x81\x1b\x10\xbe#\xec?\xda\x07\x93\xc1\xd5\n\xed?5\x95\x87}\xe9\n\xed?\xaa\xf4\xb0\xa3\xb3$\xec?G\xedv\xa4\x97$\xec?\xce\xf2D)\x84""\xec?\xde|\xfa:6#\xec?\xcd\x97Q\x0b\xa9\x0b\xed?\xe0m{\x0en#\xec?\x84\xed\xab\x9b $\xec?\xeaT""\x1e\xc3""\xec?\xae\xfa3\xee\x93$\xec?\x84\xf6f\xab\xfd#\xec?'",82.0,18.911027908325195,0.6297118663787842,0.6326730251312256,0.6230080127716064,5.205160140991211,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:179)len=82,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:179)len=82,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:179)len=82,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:179)len=82,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:179)len=82,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,9.88225250964092e-06,1.0755746150614698e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:180)len=83,1.0755746150614698e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:180)len=83,1.0755746150614698e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:180)len=83,1.0755746150614698e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:180)len=83,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:181)len=82,,,,,
4,,,,,,,,,,,,,8.86363296570547e-06,8.86363296570547e-06,8.86363296570547e-06,3.031488432625462e-05,1.0755746150614698e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:181)len=84,1.9619379116320168e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:178)len=81,1.9619379116320168e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:178)len=81,1.9619379116320168e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:178)len=81,4.107063047686932e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (96:177)len=82,,,,,
5,,,,,,,,,,,,,1.0186195439354506e-06,1.0186195439354506e-06,1.0186195439354506e-06,0.004659617600365595,1.9619379116320168e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:178)len=81,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:181)len=82,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:181)len=82,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:181)len=82,0.0046792369794819155,(e2acf72f-9e57-4f7a-a0ee-89aed453dd32)_(2): (104:185)len=82,,,,,
6,,,,,,,,,,,,,0.0,0.0,0.0,0.004672500947014768,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:178)len=79,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:180)len=81,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:180)len=81,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:180)len=81,0.004693138945675024,(e2acf72f-9e57-4f7a-a0ee-89aed453dd32)_(2): (110:191)len=82,,,,,
7,,,,,,,,,,,,,5.235485397103723e-06,5.235485397103723e-06,5.235485397103723e-06,0.004672500947014768,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:179)len=80,2.587348405735934e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (96:178)len=83,2.587348405735934e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (96:178)len=83,2.587348405735934e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (96:178)len=83,0.004693138945675024,(e2acf72f-9e57-4f7a-a0ee-89aed453dd32)_(2): (111:192)len=82,,,,,
8,,,,,,,,,,,,,5.235485397103723e-06,5.235485397103723e-06,5.235485397103723e-06,0.004675967539333192,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:180)len=81,2.587348405735934e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (96:176)len=81,2.587348405735934e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (96:176)len=81,2.587348405735934e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (96:176)len=81,0.004696605537993448,(e2acf72f-9e57-4f7a-a0ee-89aed453dd32)_(2): (109:190)len=82,,,,,
9,,,,,,,,,,,,,2.04326318166137e-05,2.04326318166137e-05,2.04326318166137e-05,0.004675967539333192,2.063799866025562e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (100:181)len=82,4.107063047686932e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (96:177)len=82,4.107063047686932e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (96:177)len=82,4.107063047686932e-05,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (96:177)len=82,0.004696605537993448,(e2acf72f-9e57-4f7a-a0ee-89aed453dd32)_(2): (108:189)len=82,,,,,
