,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,7.462214469909668,303.7680013179779,,,,,,,,,,,,,,,,,,,,,,18.0,201.0,201.0,3618.0,6.0
1,,,,,,"(13.0): (107:121)len=15:b'dv\xf5\xaej\x9e\xe7?\xaa\xd9\xc1\x90\xee\x8a\xe8?\'\x1bIab\xbc\xe8?\xd4\xae\x11\xda\xd5x\xe8?\x12\xbe\x18FQ\xb2\xe9?\x91.\xd3\x82YY\xec?\xc2{y\xc7J\xa8\xec?\xd8|""p\xa0\x17\xea?FZ\xae\xa7\xeb\xe3\xe8?\x81i\xe6\x03\xe1.\xea?D\\\xce\xdfcT\xec?\xf4\xd8\x1a:\x0b\xb5\xee?g\xa7\xd5F+-\xf0?\xfbb\xa58\xfdo\xf0?\xf0*\x10\xe2o\xc0\xf0?'",15.0,4.2509026527404785,0.30580735206604004,0.278256893157959,0.3197662830352783,1.5219886302947998,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(13.0): (107:121)len=15,0.0,(13.0): (107:121)len=15,0.0,(13.0): (107:121)len=15,0.0,(13.0): (107:121)len=15,0.0,(13.0): (107:121)len=15,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,1.964323953819805e-05,8.231221755257423e-06,(13.0): (107:120)len=14,8.231221755257423e-06,(13.0): (107:120)len=14,8.231221755257423e-06,(13.0): (107:120)len=14,8.231221755257423e-06,(13.0): (107:120)len=14,2.787446129345547e-05,(13.0): (106:120)len=15,,,,,
4,,,,,,,,,,,,,0.0,0.0,0.0,1.71586494883955e-05,1.209981132360932e-05,(13.0): (108:121)len=14,1.209981132360932e-05,(13.0): (108:121)len=14,1.209981132360932e-05,(13.0): (108:121)len=14,1.209981132360932e-05,(13.0): (108:121)len=14,2.925846081200482e-05,(13.0): (108:122)len=15,,,,,
5,,,,,,,,,,,,,2.876717780879463e-07,2.876717780879463e-07,2.876717780879463e-07,5.61303966749668e-05,1.6707789382411225e-05,(13.0): (110:121)len=12,1.699546116049917e-05,(13.0): (107:122)len=16,1.699546116049917e-05,(13.0): (107:122)len=16,1.699546116049917e-05,(13.0): (107:122)len=16,7.283818605737802e-05,(13.0): (109:123)len=15,,,,,
6,,,,,,,,,,,,,2.2796487717975655e-06,2.2796487717975655e-06,2.2796487717975655e-06,7.136011331956762e-05,1.699546116049917e-05,(13.0): (107:122)len=16,1.9275109932296736e-05,(13.0): (106:121)len=16,1.9275109932296736e-05,(13.0): (106:121)len=16,1.9275109932296736e-05,(13.0): (106:121)len=16,8.835557448006679e-05,(13.0): (105:119)len=15,,,,,
7,,,,,,,,,,,,,1.0101962887595138e-05,1.0101962887595138e-05,1.0101962887595138e-05,0.00011292084988041265,1.7772498405860334e-05,(13.0): (109:121)len=13,2.787446129345547e-05,(13.0): (106:120)len=15,2.787446129345547e-05,(13.0): (106:120)len=15,2.787446129345547e-05,(13.0): (106:120)len=15,0.00013069334828627298,(13.0): (110:124)len=15,,,,,
8,,,,,,,,,,,,,9.983350879708083e-06,9.983350879708083e-06,9.983350879708083e-06,0.00013347100923207644,1.9275109932296736e-05,(13.0): (106:121)len=16,2.925846081200482e-05,(13.0): (108:122)len=15,2.925846081200482e-05,(13.0): (108:122)len=15,2.925846081200482e-05,(13.0): (108:122)len=15,0.00015274611916437318,(14.0): (107:121)len=15,,,,,
9,,,,,,,,,,,,,1.4270074160321246e-05,1.4270074160321246e-05,1.4270074160321246e-05,0.00013425892459356455,2.1057141403111983e-05,(13.0): (108:120)len=13,3.532721556343323e-05,(13.0): (109:122)len=14,3.532721556343323e-05,(13.0): (109:122)len=14,3.532721556343323e-05,(13.0): (109:122)len=14,0.00015531606599667654,(11.0): (119:133)len=15,,,,,
10,,,,,,,,,,,,,1.9822108497209783e-05,1.9822108497209783e-05,1.9822108497209783e-05,0.00015710427237351651,2.2687261482115133e-05,(13.0): (107:119)len=13,4.2509369979324916e-05,(13.0): (106:119)len=14,4.2509369979324916e-05,(13.0): (106:119)len=14,4.2509369979324916e-05,(13.0): (106:119)len=14,0.00017979153385563166,(14.0): (106:120)len=15,,,,,
11,,,,,,,,,,,,,3.922379150401408e-05,3.922379150401408e-05,3.922379150401408e-05,0.00015391572009950755,2.6531374777983398e-05,(13.0): (110:120)len=11,6.575516628199747e-05,(13.0): (108:123)len=16,6.575516628199747e-05,(13.0): (108:123)len=16,6.575516628199747e-05,(13.0): (108:123)len=16,0.00018044709487749096,(14.0): (108:122)len=15,,,,,
12,,,,,,,,,,,,,4.544216882733385e-05,4.544216882733385e-05,4.544216882733385e-05,0.00015526060743614105,2.7271680972835355e-05,(13.0): (109:120)len=12,7.27138498001692e-05,(13.0): (105:120)len=16,7.27138498001692e-05,(13.0): (105:120)len=16,7.27138498001692e-05,(13.0): (105:120)len=16,0.0001825322884089764,(10.0): (122:136)len=15,,,,,
13,,,,,,,,,,,,,4.496372476392255e-05,4.496372476392255e-05,4.496372476392255e-05,0.00016624857443947767,2.787446129345547e-05,(13.0): (106:120)len=15,7.283818605737802e-05,(13.0): (109:123)len=15,7.283818605737802e-05,(13.0): (109:123)len=15,7.283818605737802e-05,(13.0): (109:123)len=15,0.00019412303573293314,(8.0): (11:25)len=15,,,,,
14,,,,,,,,,,,,,4.448726124600741e-05,4.448726124600741e-05,4.448726124600741e-05,0.00018217316762647687,2.925846081200482e-05,(13.0): (108:122)len=15,7.374572205801222e-05,(13.0): (110:123)len=14,7.374572205801222e-05,(13.0): (110:123)len=14,7.374572205801222e-05,(13.0): (110:123)len=14,0.0002114316284384817,(11.0): (118:132)len=15,,,,,
