,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,74.22323036193848,2164.7048037052155,,,,,,,,,,,,,,,,,,,,,,136.0,150.0,150.0,20400.0,30.0
1,,,,,,"(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41:b'\x1e\x16jM\xf3d\x8d@\xb4Y\xf5\xb9\x1a\x80\x8d@8\xe0\xf3\xc3H\x9e\x8d@?:u\xe5\xf3\xb4\x8d@\xe4\xfcM(D\xca\x8d@[\xb6\xd6\x17\xc9\xcf\x8d@}?5^z\xcb\x8d@\xbfeN\x97\x85\xd6\x8d@\xaf\xac4)\x85\xf9\x8d@\x9f\xe5yp7&\x8e@|a2U0N\x8e@\xcd#\x7f00k\x8e@\x14\x96x@Yf\x8e@\x16jM\xf3\x8e""\x8e@\xff>\xe3\xc2\x81\x9c\x8d@\x97\xe7\xc1\xddY\xeb\x8c@;\x88\x9d)4/\x8c@\x1d \x98\xa3\x87f\x8b@z\xc7):\xd2\xad\x8a@\xf7\x01Hm""\x14\x8a@\x02eS\xaep\xac\x89@3\xa7\xcbbbz\x89@\x8f\xdf\xdb\xf4\'r\x89@\xd1\\\xa7\x91\x96\x8a\x89@;k\xb7]\xa8\xb1\x89@tF\x94\xf6\xc6\xca\x89@\xb7\x0b\xcdu\xda\xcf\x89@}\xb3\xcd\x8d\xa9\xdb\x89@{\x83/L\xe6\xe7\x89@\xd0a\xbe\xbc\x80\xef\x89@)Wx\x97\x0b\xf4\x89@\xb3A&\x19\xf9\xf9\x89@\xf2\xea\x1c\x032\x03\x8a@\x91\x9b\xe1\x06<\r\x8a@\xa4k&\xdf\xac\x19\x8a@\x12\xdf\x89Yo%\x8a@\xc2\x86\xa7W\x8a/\x8a@\xf7\x8d\xaf=\xf39\x8a@d\xd1tv2A\x8a@\x99G\xfe``H\x8a@\xae\xf0.\x17qN\x8a@'",41.0,20.107707977294922,0.5980031490325928,0.6181340217590332,0.6156089305877686,5.400656461715698,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,3.062646632732561e-05,6.2123367304448175e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:138)len=42,6.2123367304448175e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:138)len=42,6.2123367304448175e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:138)len=42,6.2123367304448175e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:138)len=42,3.683880305777043e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:136)len=41,,,,,
4,,,,,,,,,,,,,0.0,0.0,0.0,3.325484446214056e-05,7.879575770037346e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:136)len=40,7.879575770037346e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:136)len=40,7.879575770037346e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:136)len=40,7.879575770037346e-06,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:136)len=40,4.11344202321779e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:138)len=41,,,,,
5,,,,,,,,,,,,,1.1276564808380037e-05,1.1276564808380037e-05,1.1276564808380037e-05,8.670055185567435e-05,1.742869077432057e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:139)len=43,2.8705255582700607e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:137)len=42,2.8705255582700607e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:137)len=42,2.8705255582700607e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:137)len=42,0.00010412924262999492,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:135)len=41,,,,,
6,,,,,,,,,,,,,8.411464802660598e-06,8.411464802660598e-06,8.411464802660598e-06,0.00010329372137447441,2.6865060017236543e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:135)len=39,3.527652481989714e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:137)len=40,3.527652481989714e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:137)len=40,3.527652481989714e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:137)len=40,0.00013015878139171095,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (99:139)len=41,,,,,
7,,,,,,,,,,,,,8.133547475069824e-06,8.133547475069824e-06,8.133547475069824e-06,0.00016340190621412428,2.8705255582700607e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:137)len=42,3.683880305777043e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:136)len=41,3.683880305777043e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:136)len=41,3.683880305777043e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:136)len=41,0.0001921071617968249,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (94:134)len=41,,,,,
8,,,,,,,,,,,,,1.040377761078547e-05,1.040377761078547e-05,1.040377761078547e-05,0.0002006996595020598,3.073064262139243e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:140)len=44,4.11344202321779e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:138)len=41,4.11344202321779e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:138)len=41,4.11344202321779e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:138)len=41,0.00023143030212345223,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (100:140)len=41,,,,,
9,,,,,,,,,,,,,1.7563256387396334e-05,1.7563256387396334e-05,1.7563256387396334e-05,0.00026958265868751944,3.4501906690369886e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:138)len=43,5.206516307776622e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:139)len=42,5.206516307776622e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:139)len=42,5.206516307776622e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:139)len=42,0.00030408456537788935,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (93:133)len=41,,,,,
10,,,,,,,,,,,,,2.067089511520253e-05,2.067089511520253e-05,2.067089511520253e-05,0.0003185651099579616,3.527652481989714e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:137)len=40,5.594741993509967e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:135)len=40,5.594741993509967e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:135)len=40,5.594741993509967e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:135)len=40,0.0003538416347778587,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (101:141)len=41,,,,,
11,,,,,,,,,,,,,4.78315431067318e-05,4.78315431067318e-05,4.78315431067318e-05,0.0003430633746495294,3.683880305777043e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:136)len=41,8.467034616450223e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:136)len=42,8.467034616450223e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:136)len=42,8.467034616450223e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:136)len=42,0.0003799021777072998,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (103:143)len=41,,,,,
12,,,,,,,,,,,,,6.299482239781702e-05,6.299482239781702e-05,6.299482239781702e-05,0.00034164026281759775,4.11344202321779e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:138)len=41,0.00010412924262999492,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:135)len=41,0.00010412924262999492,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:135)len=41,0.00010412924262999492,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:135)len=41,0.00038277468304977565,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (102:142)len=41,,,,,
13,,,,,,,,,,,,,7.72827894728168e-05,7.72827894728168e-05,7.72827894728168e-05,0.00043027628877801083,4.277442037538432e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:141)len=45,0.00012005720984820112,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (99:138)len=40,0.00012005720984820112,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (99:138)len=40,0.00012005720984820112,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (99:138)len=40,0.00047305070915339516,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (104:144)len=41,,,,,
14,,,,,,,,,,,,,8.646322954440229e-05,8.646322954440229e-05,8.646322954440229e-05,0.0007992854912347713,4.369555184730867e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:136)len=39,0.00013015878139171095,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (99:139)len=41,0.00013015878139171095,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (99:139)len=41,0.00013015878139171095,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (99:139)len=41,0.00084298104308208,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (105:145)len=41,,,,,
15,,,,,,,,,,,,,8.840549211855853e-05,8.840549211855853e-05,8.840549211855853e-05,0.0011989506447460249,4.525348515773033e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:139)len=44,0.00013365897727628885,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:134)len=40,0.00013365897727628885,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:134)len=40,0.00013365897727628885,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:134)len=40,0.0012442041299037551,(90b2b633-956b-4c0c-a849-9b926b5252e3)_(2): (96:136)len=41,,,,,
16,,,,,,,,,,,,,9.061857333368546e-05,9.061857333368546e-05,9.061857333368546e-05,0.0012033573496164623,5.180449500240764e-05,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:142)len=46,0.0001424230683360931,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (99:140)len=42,0.0001424230683360931,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (99:140)len=42,0.0001424230683360931,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (99:140)len=42,0.00125516184461887,(90b2b633-956b-4c0c-a849-9b926b5252e3)_(2): (95:135)len=41,,,,,
