,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,1626.424608707428,111610.13956212997,,,,,,,,,,,,,,,,,,,,,,109.0,431.0,431.0,46979.0,24.0
1,,,,,,"(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:225)len=29:b""74\xe9\xdf\xc3_\xd0\xbf\xdf\x12F\xd4\xc0\xa6\xd2\xbf\xad\x18\xae\x0e\x808\xd3\xbf\xe8\x8a\x10&\xde\xa4\xd4\xbf\xbe\x08C\xb2\xba4\xd7\xbf\xf9z\xa5\xc9\x18\xa1\xd8\xbfZ\x14\x13'9X\xd8\xbf\x16*\xe6\xbd\xbd\xed\xd4\xbf\x01\x81s\xeb\xda\x83\xc2\xbf\xece\xa1\xbe\xe1\x95\xcf?,\xb5\xa4\xc4*\xf5\xed?\xfd\xae\x19*\x10\xc7\xfe?Vq\x99\x89\xd8\xf6\x07@\xd7\xba\xd4\x08\xfd\x8c\r@\xa2\xc9\x0f\xa6rT\x0f@\xa2\xc9\x0f\xa6rT\x0f@\x91\xba\x9d}\xe51\r@\xf7\x11\t\xf0'd\x08@C\xed\x120\x15\x86\x01@\xcc]\xf0\x0e\x95+\xf5?\x92\xf0\xb5N\xf9#\xe3?\x96\x99\xb1\xecr\xdf\xbb?\xc2\xb3N\xa6\x1b\xf2\xc1\xbf\x92\x8f\xdd\x05J\n\xcf\xbfr\xa6K\xf7!\xcc\xd1\xbf\xad\x18\xae\x0e\x808\xd3\xbfH$~\x83\xfe[\xd4\xbf\xb25\xb62<\x11\xd6\xbf\xed\xa7\x18J\x9a}\xd7\xbf""",29.0,173.53163504600525,3.710104465484619,3.6985182762145996,3.6590089797973633,35.358415365219116,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,2.2421708702553197e-05,2.2421708702553197e-05,2.2421708702553197e-05,0.00014445249122275154,0.0,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:225)len=29,2.2421708702553197e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:226)len=30,2.2421708702553197e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:226)len=30,2.2421708702553197e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:226)len=30,0.00014445249122275154,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (199:227)len=29,,,,,
3,,,,,,,,,,,,,1.6259011039268503e-05,1.6259011039268503e-05,1.6259011039268503e-05,0.0002664832737429499,2.2421708702553197e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:226)len=30,3.86807197418217e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:224)len=28,3.86807197418217e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:224)len=28,3.86807197418217e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:224)len=28,0.0002889049824455031,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (200:228)len=29,,,,,
4,,,,,,,,,,,,,2.320843532369541e-05,2.320843532369541e-05,2.320843532369541e-05,0.006224664675180505,3.86807197418217e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:224)len=28,6.188915506551711e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:225)len=28,6.188915506551711e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:225)len=28,6.188915506551711e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:225)len=28,0.006263345394922327,(134c6c92-ec5b-427c-afde-4fbf3ff350bf)_(2): (199:227)len=29,,,,,
5,,,,,,,,,,,,,2.3293647330919786e-05,2.3293647330919786e-05,2.3293647330919786e-05,0.006391374857310295,5.144537047531197e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:227)len=31,7.473901780623175e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (196:225)len=30,7.473901780623175e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (196:225)len=30,7.473901780623175e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (196:225)len=30,0.0064428202277856065,(134c6c92-ec5b-427c-afde-4fbf3ff350bf)_(2): (200:228)len=29,,,,,
6,,,,,,,,,,,,,2.1741235489398646e-05,2.1741235489398646e-05,2.1741235489398646e-05,0.006493966023808658,6.188915506551711e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:225)len=28,8.363039055491576e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:226)len=29,8.363039055491576e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:226)len=29,8.363039055491576e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:226)len=29,0.006555855178874174,(2a45c2ab-8cbf-4db0-a264-accc79ac1b1e)_(2): (200:228)len=29,,,,,
7,,,,,,,,,,,,,3.736952570653424e-05,3.736952570653424e-05,3.736952570653424e-05,0.006505088818056121,7.473901780623175e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (196:225)len=30,0.000112108543512766,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:227)len=30,0.000112108543512766,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:227)len=30,0.000112108543512766,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:227)len=30,0.006579827835862353,(2a45c2ab-8cbf-4db0-a264-accc79ac1b1e)_(2): (199:227)len=29,,,,,
8,,,,,,,,,,,,,3.4523995562155984e-05,3.4523995562155984e-05,3.4523995562155984e-05,0.006723994230365921,7.951743678011143e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (197:228)len=32,0.00011404143234226742,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (196:224)len=29,0.00011404143234226742,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (196:224)len=29,0.00011404143234226742,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (196:224)len=29,0.006803511667146033,(366eb16f-508e-4ad7-a7c9-3acfe059a0ee)_(1): (199:227)len=29,,,,,
9,,,,,,,,,,,,,3.241176867054934e-05,3.241176867054934e-05,3.241176867054934e-05,0.0068782278181070975,8.363039055491576e-05,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (198:226)len=29,0.0001160421592254651,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (199:226)len=28,0.0001160421592254651,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (199:226)len=28,0.0001160421592254651,(7c967f79-b7e9-4aca-a970-65e18e46d534)_(2): (199:226)len=28,0.0069618582086620135,(366eb16f-508e-4ad7-a7c9-3acfe059a0ee)_(1): (200:228)len=29,,,,,
