,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,250.8403124809265,45630.03554773331,,,,,,,,,,,,,,,,,,,,,,70.0,319.0,319.0,22330.0,18.0
1,,,,,,"(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:275)len=82:b'\xdd\xf6w\x959\x06\xcf?1%P\xcc\x93N\xcb?\xde\x0c\xccD\xf0\xc3\xc7?\xc8\xffO\x8b\xe2Q\xcb?\x88\xc9\xa7\t\xd3^\xcd?\x0c\x97\x01\xd9~A\x8d?k\x85\xb6\x8ah\xb5\xb7?\x7f\xabmq*%\xc5?\x96m\x96\x81\xb9\xcc\xd9?=\xd8\xaeE\x15\xc2\xb6?U\x15\xb7]\xaaJ\xd2?$\x1c\xc4\x18\xa2\xd4\xc3?\x99\x87\xa7\xb2\x83\x05\xe0?=\xbeZA\x15o\xd6?\xf3\xa8:\xdc\xf5o\xd5?\xe6|N\xcd\'#\xd1?U\x83\x93\xe16b\xd1? \xf3\xbfd\xfc^\xbd?C\x07\x97m+f\xd8?\x99xQ\x05\xed\xff\xe1?\xcd\x1a\x1f\xda\x85\xce\xe0?oh%\x08\xb2\xb9\xd7?\xe8\xe8\xc8\xfciD\xd7?\xc6\x97\x9aN\xfcb\x19@z\xdd""0\xd6\xa7+@\xe5J=\x0bB\xd9\xf3?\x91\xa7\xf63\x06\x87\xf4?\x83\x08\x82\x11E\x92\xf2?\xea\xd4\xf0\x88e\x8e\xf6?x\xa8\xd8^,H\xeb?\xbf\xe2>\xac\x16|\xee?\xff\xbd\xca\x90\x19\xfe\xf3?\xa1\x10\x01\x87PE\xf3?\x10A\x93\xcc\x03[\xe5??\xa1C\x85\x8f-\xf2?=\xde?q[6\xf2?\n\x7fL\x8c\xe1A\xe6?\xe5\x94%\xdf\x11\xba\xf9?\x80\xbe\xca-\xef""\xda?\'C]\xbd\xed\x96\xe5?+\xaa\xb8P}P\xe8?6 !NPX\xcd??|\xb7~\x9c^\xa6?\xc0\xc3Y\xb6{\xde\xd1?\xba\x03\xc8\x12\xceU\xbf?\xf7\x88\xbe""\x0bVe\xbf\xc5\x98\xaaj8\x1b\xc3?\xebYJu\x85\xe7\xc9?d\xc9\xc1\x11I\x19\xdb?\x97C\xc5\x17q*\xba?fr{\x93\xf0\xce\xde?\xfbt~\x82rx\xbd?\xa4GV\xf5\'.\x85?\xeaeo\x84\xa0\xfe\xd9?O\x10L\xa0N\x9a\xd2?\xe6\xbb\x8cI\x1c\x05\xcf?\x9f\xe7.\r\xecF\xde?\x1eh\x89\xbePz\xc2?\xce9\x82\x98\xa7\x1a\xb3\xbf\n&\x06\x9a2$\xd5?\x11p\xc68\x98\xb0\xd9?\xc7\xd5\xf8\xe7\xca\xe9\x96\xbf\xa1\x93\xceU-\xc8\xbb?\x9e\x83\x80\xdf3\x90\xe1?\xe6\xb3\xde\x9d\xec\xce\x93\xbf\xc5\xb6V\xc5e&\xc6?\xad\x9e6\xf1\x07\xbaN\xbf\xe1z\xdb\xde\xc3$j?\xca\xd5q\xf7\x97/\xb9?\xd1\xd4\xc2\x97O\xf7\xc3?qba\xeb\xc6\xf9\xb4\xbf\xe3{\xe9g\x96\xf6\xb2?\x04\xac\x13\x9fT^\xbb\xbf=XR0[\x19\xca\xbf\x197V\xdee\xf1\xc4\xbfI\x87$\x06\xc3\xb1\xa9\xbfw\xb2\xf4\xd1D\x00\x89\xbf\xe0(\xacf3\r\x9a?\xea|\x82\x08\x94t\xb1?\tu\r\n\xb5\xec\xb6?\xba\x92\x91q\x94U\xc1?\xc1[U3\xc1)\xa7\xbf'",82.0,69.39573788642883,1.3847987651824951,1.4777178764343262,1.3901565074920654,12.625045776367188,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.00032045561460424703,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:275)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:275)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:275)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:275)len=82,0.00032045561460424703,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (198:279)len=82,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,0.0014827643253932062,5.285545991816568e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:276)len=83,5.285545991816568e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:276)len=83,5.285545991816568e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:276)len=83,5.285545991816568e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:276)len=83,0.001535619785311372,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (201:282)len=82,,,,,
4,,,,,,,,,,,,,4.996198607904236e-05,4.996198607904236e-05,4.996198607904236e-05,0.001641567515509696,0.0001355454084772308,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (192:275)len=84,8.558342239818843e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (193:275)len=83,8.558342239818843e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (193:275)len=83,8.558342239818843e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (193:275)len=83,0.0017771129239869266,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (190:271)len=82,,,,,
5,,,,,,,,,,,,,8.83589633782934e-05,8.83589633782934e-05,8.83589633782934e-05,0.021917583149504604,0.00014499236050820072,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (192:276)len=85,0.00023335132388649412,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:277)len=81,0.00023335132388649412,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:277)len=81,0.00023335132388649412,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:277)len=81,0.022062575510012804,(405cacec-8774-49a9-a7d2-1e02ff01cf99)_(3): (200:281)len=82,,,,,
6,,,,,,,,,,,,,6.99327006875361e-05,6.99327006875361e-05,6.99327006875361e-05,0.021913753366841936,0.000164817010148526,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:277)len=84,0.0002347497108360621,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:278)len=82,0.0002347497108360621,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:278)len=82,0.0002347497108360621,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:278)len=82,0.022078570376990462,(405cacec-8774-49a9-a7d2-1e02ff01cf99)_(3): (197:278)len=82,,,,,
7,,,,,,,,,,,,,9.567872429787976e-05,9.567872429787976e-05,9.567872429787976e-05,0.021925973615505016,0.00016724495966109783,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (194:278)len=85,0.0002629236839589776,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (196:276)len=81,0.0002629236839589776,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (196:276)len=81,0.0002629236839589776,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (196:276)len=81,0.022093218575166114,(405cacec-8774-49a9-a7d2-1e02ff01cf99)_(3): (189:270)len=82,,,,,
8,,,,,,,,,,,,,5.821421278818758e-05,5.821421278818758e-05,5.821421278818758e-05,0.024906844384927518,0.00021005443020823025,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (198:275)len=78,0.00026826864299641783,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (198:278)len=81,0.00026826864299641783,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (198:278)len=81,0.00026826864299641783,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (198:278)len=81,0.02511689881513575,(3da9c2a9-0ed4-4f1a-ad4c-bf374eb93eff)_(3): (200:281)len=82,,,,,
9,,,,,,,,,,,,,8.070565996601568e-05,8.070565996601568e-05,8.070565996601568e-05,0.025128730334786065,0.00021212047288054006,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (192:277)len=86,0.00029282613284655574,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:279)len=83,0.00029282613284655574,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:279)len=83,0.00029282613284655574,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:279)len=83,0.025340850807666605,(3da9c2a9-0ed4-4f1a-ad4c-bf374eb93eff)_(3): (189:270)len=82,,,,,
