,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,119.11646676063538,2280.869707107544,,,,,,,,,,,,,,,,,,,,,,60.0,448.0,448.0,26880.0,12.0
1,,,,,,"(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:225)len=29:b'\xa4\xf8Q=4T\xb2\xbf\x98\x1d\x05/\xca\xd1\xa1\xbf\x9c\xdd\x9b\x1dp\xefs?\x89\xfb~ /Z\xa4?\xf2a\x9d\xfa\xa5\x9d\xb2?\xd8i\xcf%Ok\xb7?7\xf7\x1d\xe4q(\xba?F\x88\xe1\xd9\xd4/\xba?\xc0\xbaM_\x9f\x9e\xb4?7\x01\xb6\x1e\xe6\x94\xb0?\xe2\xfd\x16o\xf4\xc9\xa5?GR\x97\xf3!t\x82?0d\xc6\xf2\xe6$\x8f\xbf\x1e\x00\xe8eQ.\xa4\xbf/kq\xac\xdc""\xaf\xbf\x02\xd9F\x97\x92@\xb3\xbfuA\xb7v&]\xb6\xbf\xb6\x8e\xd2\xeeU\x80\xb8\xbf:a\xba\xf7\r\x9f\xbe\xbfVq\x15Q4\x0b\xc1\xbf\x92\xaf%`K\xfa\xc1\xbf\xedWlY\xdf<\xc4\xbf&\xab""\xdcdT\xc5\xbf\x98\x87\x8e\x15\xe3\x19\xc7\xbf\x83\xa7o\x1d\x0c\n\xc9\xbf\xf0\xb1&\xdcL\x01\xc9\xbf\x90\xe4,\xcb[\x9e\xc7\xbf\xddT\xac3!\xda\xc6\xbf^\xe6*\xcc1\x8f\xc5\xbf'",29.0,100.98061275482178,2.274200677871704,2.253936290740967,2.258775472640991,21.11840057373047,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:225)len=29,0.0,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:225)len=29,0.0,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:225)len=29,0.0,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:225)len=29,0.0,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:225)len=29,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,0.00012315624274698627,3.592004176665564e-05,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:224)len=28,3.592004176665564e-05,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:224)len=28,3.592004176665564e-05,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:224)len=28,3.592004176665564e-05,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:224)len=28,0.00015907628451364191,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:224)len=29,,,,,
4,,,,,,,,,,,,,0.0,0.0,0.0,0.0001058251730041134,5.550354003449929e-05,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:226)len=30,5.550354003449929e-05,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:226)len=30,5.550354003449929e-05,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:226)len=30,5.550354003449929e-05,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:226)len=30,0.0001613287130386127,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:225)len=29,,,,,
5,,,,,,,,,,,,,4.1757752665031456e-05,4.1757752665031456e-05,4.1757752665031456e-05,0.00010514730929871381,7.991991040432208e-05,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:223)len=27,0.00012167766306935354,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:225)len=30,0.00012167766306935354,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:225)len=30,0.00012167766306935354,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:225)len=30,0.0001850672197030359,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (198:226)len=29,,,,,
6,,,,,,,,,,,,,9.185317294517064e-06,9.185317294517064e-06,9.185317294517064e-06,0.00012501419528803358,0.00012167766306935354,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:225)len=30,0.0001308629803638706,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (198:225)len=28,0.0001308629803638706,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (198:225)len=28,0.0001308629803638706,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (198:225)len=28,0.0002466918583573871,(f8cda88b-436d-46e2-a83c-fe0be037e5ed)_(3): (197:225)len=29,,,,,
7,,,,,,,,,,,,,2.821330414977131e-05,2.821330414977131e-05,2.821330414977131e-05,0.00012648993631430815,0.0001308629803638706,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (198:225)len=28,0.00015907628451364191,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:224)len=29,0.00015907628451364191,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:224)len=29,0.00015907628451364191,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:224)len=29,0.00025735291667817876,(1d53434b-b881-49b9-ae27-0da702f06b90)_(3): (197:225)len=29,,,,,
8,,,,,,,,,,,,,1.4700431059502686e-05,1.4700431059502686e-05,1.4700431059502686e-05,0.0001379935061905443,0.00014662828197911,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:227)len=31,0.0001613287130386127,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:225)len=29,0.0001613287130386127,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:225)len=29,0.0001613287130386127,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:225)len=29,0.0002846217881696543,(988c24c9-61b1-4d22-a280-1c4510435a10)_(3): (197:225)len=29,,,,,
9,,,,,,,,,,,,,2.5990935189393983e-05,2.5990935189393983e-05,2.5990935189393983e-05,0.00014438140243919014,0.00015907628451364191,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:224)len=29,0.0001850672197030359,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (198:226)len=29,0.0001850672197030359,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (198:226)len=29,0.0001850672197030359,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (198:226)len=29,0.00030345768695283205,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (196:224)len=29,,,,,
10,,,,,,,,,,,,,3.2173585242769724e-05,3.2173585242769724e-05,3.2173585242769724e-05,0.00018053900043102272,0.0001613287130386127,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:225)len=29,0.00019350229828138241,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:224)len=28,0.00019350229828138241,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:224)len=28,0.00019350229828138241,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:224)len=28,0.0003418677134696354,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (198:226)len=29,,,,,
11,,,,,,,,,,,,,3.470357108615864e-05,3.470357108615864e-05,3.470357108615864e-05,0.00018626556199118944,0.00016976129038285707,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (198:224)len=27,0.0002044648614690157,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:223)len=28,0.0002044648614690157,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:223)len=28,0.0002044648614690157,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:223)len=28,0.0003560268523740465,(287d06ca-6f4c-469a-ab22-d3081c8eaee9)_(3): (197:225)len=29,,,,,
12,,,,,,,,,,,,,4.2535176365211266e-05,4.2535176365211266e-05,4.2535176365211266e-05,0.00020578950137191824,0.00017422818305212195,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (196:226)len=31,0.00021676335941733321,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:226)len=30,0.00021676335941733321,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:226)len=30,0.00021676335941733321,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(3): (197:226)len=30,0.0003800176844240402,(988c24c9-61b1-4d22-a280-1c4510435a10)_(3): (196:224)len=29,,,,,
13,,,,,,,,,,,,,6.289666942301979e-05,6.289666942301979e-05,6.289666942301979e-05,0.00020420966280194176,0.00018379518893436734,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (197:220)len=24,0.0002466918583573871,(f8cda88b-436d-46e2-a83c-fe0be037e5ed)_(3): (197:225)len=29,0.0002466918583573871,(f8cda88b-436d-46e2-a83c-fe0be037e5ed)_(3): (197:225)len=29,0.0002466918583573871,(f8cda88b-436d-46e2-a83c-fe0be037e5ed)_(3): (197:225)len=29,0.0003880048517363091,(ff50bde4-3825-47b8-acab-cc97663f1c97)_(3): (197:225)len=29,,,,,
14,,,,,,,,,,,,,7.228569697514286e-05,7.228569697514286e-05,7.228569697514286e-05,0.0002066057438254749,0.0001850672197030359,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(3): (198:226)len=29,0.00025735291667817876,(1d53434b-b881-49b9-ae27-0da702f06b90)_(3): (197:225)len=29,0.00025735291667817876,(1d53434b-b881-49b9-ae27-0da702f06b90)_(3): (197:225)len=29,0.00025735291667817876,(1d53434b-b881-49b9-ae27-0da702f06b90)_(3): (197:225)len=29,0.0003916729635285108,(1d53434b-b881-49b9-ae27-0da702f06b90)_(3): (196:224)len=29,,,,,
