,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,313.0338845252991,26259.34861445427,,,,,,,,,,,,,,,,,,,,,,381.0,99.0,99.0,37719.0,78.0
1,,,,,,"(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8:b""\x07\xc5\xe2y\xa1'\xdf\xbf\x8e\x9f\x19\x06$\x08\xe0\xbf\xbf5E\xba~e\xe0\xbf\xb8= T\xd2\x98\xe0\xbf@\x89\xae\x8fw\xbc\xe0\xbf\xc6\xa6S&N\xf1\xe0\xbf\xc5\xc1k\xb8DE\xe1\xbf\xb7w\xf4\\2\xb0\xe1\xbf""",8.0,21.536761045455933,1.1110658645629883,1.0758686065673828,1.0531973838806152,8.22891640663147,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:60)len=8,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,6.198176087925918e-05,5.170918901824659e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (52:60)len=9,5.170918901824659e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (52:60)len=9,5.170918901824659e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (52:60)len=9,5.170918901824659e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (52:60)len=9,0.00011369094989750576,(30e912f2-f2b4-4abf-a441-aefd0299436a)_(1): (61:68)len=8,,,,,
4,,,,,,,,,,,,,5.82531343096752e-06,5.82531343096752e-06,5.82531343096752e-06,6.341844038189307e-05,7.637545204194752e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (51:60)len=10,8.220076547291504e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:61)len=9,8.220076547291504e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:61)len=9,8.220076547291504e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:61)len=9,0.0001397938924238406,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (52:59)len=8,,,,,
5,,,,,,,,,,,,,8.308972225168782e-06,8.308972225168782e-06,8.308972225168782e-06,8.325986871779801e-05,8.220076547291504e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:61)len=9,9.050973769808382e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:59)len=7,9.050973769808382e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:59)len=7,9.050973769808382e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:59)len=7,0.00016546063419071305,(cfa701cd-2631-400b-a6d7-94d30db95301)_(1): (83:90)len=8,,,,,
6,,,,,,,,,,,,,7.954152269092543e-06,7.954152269092543e-06,7.954152269092543e-06,7.76949308082185e-05,9.050973769808382e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (53:59)len=7,9.846388996717637e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (54:60)len=7,9.846388996717637e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (54:60)len=7,9.846388996717637e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (54:60)len=7,0.00016820466850630232,(82010c62-f5f5-4b22-ae8f-a8e0284d82e5)_(9): (79:86)len=8,,,,,
7,,,,,,,,,,,,,1.5227059930329398e-05,1.5227059930329398e-05,1.5227059930329398e-05,7.077329369002336e-05,9.846388996717637e-05,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (54:60)len=7,0.00011369094989750576,(30e912f2-f2b4-4abf-a441-aefd0299436a)_(1): (61:68)len=8,0.00011369094989750576,(30e912f2-f2b4-4abf-a441-aefd0299436a)_(1): (61:68)len=8,0.00011369094989750576,(30e912f2-f2b4-4abf-a441-aefd0299436a)_(1): (61:68)len=8,0.00016923718365719972,(eb1fa9f2-d10b-41d0-a317-347038f16a81)_(10): (74:81)len=8,,,,,
8,,,,,,,,,,,,,1.5307216552034166e-06,1.5307216552034166e-06,1.5307216552034166e-06,6.582952039696499e-05,0.00011369094989750576,(30e912f2-f2b4-4abf-a441-aefd0299436a)_(1): (61:68)len=8,0.00011522167155270918,(ff37d19c-2e76-428b-a735-44f9ea83bf00)_(2): (85:93)len=9,0.00011522167155270918,(ff37d19c-2e76-428b-a735-44f9ea83bf00)_(2): (85:93)len=9,0.00011522167155270918,(ff37d19c-2e76-428b-a735-44f9ea83bf00)_(2): (85:93)len=9,0.00017952047029447075,(ff37d19c-2e76-428b-a735-44f9ea83bf00)_(2): (85:92)len=8,,,,,
9,,,,,,,,,,,,,1.416975242382929e-05,1.416975242382929e-05,1.416975242382929e-05,6.437589771355525e-05,0.00011522167155270918,(ff37d19c-2e76-428b-a735-44f9ea83bf00)_(2): (85:93)len=9,0.00012939142397653847,(cfa701cd-2631-400b-a6d7-94d30db95301)_(1): (83:91)len=9,0.00012939142397653847,(cfa701cd-2631-400b-a6d7-94d30db95301)_(1): (83:91)len=9,0.00012939142397653847,(cfa701cd-2631-400b-a6d7-94d30db95301)_(1): (83:91)len=9,0.00017959756926626443,(d0a44432-9cd6-4852-a14c-7df4e4347d51)_(9): (83:90)len=8,,,,,
10,,,,,,,,,,,,,1.7209676530762825e-05,1.7209676530762825e-05,1.7209676530762825e-05,5.706399426612231e-05,0.00012258421589307777,(ff37d19c-2e76-428b-a735-44f9ea83bf00)_(2): (84:93)len=10,0.0001397938924238406,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (52:59)len=8,0.0001397938924238406,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (52:59)len=8,0.0001397938924238406,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (52:59)len=8,0.00017964821015920007,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (54:61)len=8,,,,,
11,,,,,,,,,,,,,3.3410112743234935e-05,3.3410112743234935e-05,3.3410112743234935e-05,6.063075709810892e-05,0.00012455453739609532,(05000bc6-b20d-4b6e-a231-1f1795863a76)_(10): (46:61)len=16,0.00015796465013933025,(82010c62-f5f5-4b22-ae8f-a8e0284d82e5)_(9): (78:86)len=9,0.00015796465013933025,(82010c62-f5f5-4b22-ae8f-a8e0284d82e5)_(9): (78:86)len=9,0.00015796465013933025,(82010c62-f5f5-4b22-ae8f-a8e0284d82e5)_(9): (78:86)len=9,0.00018518529449420423,(09cb3942-43f5-4a85-abc9-f87af668a617)_(9): (85:92)len=8,,,,,
12,,,,,,,,,,,,,3.421570025190224e-05,3.421570025190224e-05,3.421570025190224e-05,5.9479256434529296e-05,0.0001257363315848442,(82010c62-f5f5-4b22-ae8f-a8e0284d82e5)_(9): (71:86)len=16,0.00015995203183674644,(30e912f2-f2b4-4abf-a441-aefd0299436a)_(1): (61:67)len=7,0.00015995203183674644,(30e912f2-f2b4-4abf-a441-aefd0299436a)_(1): (61:67)len=7,0.00015995203183674644,(30e912f2-f2b4-4abf-a441-aefd0299436a)_(1): (61:67)len=7,0.0001852155880193735,(09cb3942-43f5-4a85-abc9-f87af668a617)_(9): (86:93)len=8,,,,,
13,,,,,,,,,,,,,3.4317393157518006e-05,3.4317393157518006e-05,3.4317393157518006e-05,5.8984043252397584e-05,0.00012641226579697098,(ff37d19c-2e76-428b-a735-44f9ea83bf00)_(2): (85:94)len=10,0.00016072965895448898,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (51:59)len=9,0.00016072965895448898,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (51:59)len=9,0.00016072965895448898,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (51:59)len=9,0.00018539630904936856,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(2): (85:92)len=8,,,,,
14,,,,,,,,,,,,,3.899012161572707e-05,3.899012161572707e-05,3.899012161572707e-05,6.040244330764513e-05,0.00012647051257498598,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (52:61)len=10,0.00016546063419071305,(cfa701cd-2631-400b-a6d7-94d30db95301)_(1): (83:90)len=8,0.00016546063419071305,(cfa701cd-2631-400b-a6d7-94d30db95301)_(1): (83:90)len=8,0.00016546063419071305,(cfa701cd-2631-400b-a6d7-94d30db95301)_(1): (83:90)len=8,0.00018687295588263111,(ff37d19c-2e76-428b-a735-44f9ea83bf00)_(2): (86:93)len=8,,,,,
15,,,,,,,,,,,,,4.025357709079371e-05,4.025357709079371e-05,4.025357709079371e-05,6.0735445508474506e-05,0.0001279510914155086,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (50:60)len=11,0.00016820466850630232,(82010c62-f5f5-4b22-ae8f-a8e0284d82e5)_(9): (79:86)len=8,0.00016820466850630232,(82010c62-f5f5-4b22-ae8f-a8e0284d82e5)_(9): (79:86)len=8,0.00016820466850630232,(82010c62-f5f5-4b22-ae8f-a8e0284d82e5)_(9): (79:86)len=8,0.00018868653692398311,(bc594585-9445-48c0-aef8-c2d6f7fd5646)_(3): (81:88)len=8,,,,,
