,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,259.752233505249,10433.022917032242,,,,,,,,,,,,,,,,,,,,,,400.0,80.0,80.0,32000.0,84.0
1,,,,,,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:68)len=21:b'\xba5e~\xa0\xa2\xca\xbf\r@\xdd\x1fs\x8e\xd8\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf\xd5Ee\x1eT]\xf1\xbf',21.0,16.4216890335083,0.6229612827301025,0.5917308330535889,0.6230552196502686,4.794403314590454,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:50)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:69)len=22,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:69)len=22,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:69)len=22,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:68)len=21,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,7.222494644319666e-05,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:51)len=4,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:67)len=20,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:67)len=20,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:67)len=20,7.222494644319666e-05,(2cd94cbb-c19a-458c-a35b-1c8c0a4c9f7f)_(3): (48:68)len=21,,,,,
4,,,,,,,,,,,,,0.0,0.0,0.0,0.00011667236186656338,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:52)len=5,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:68)len=21,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:68)len=21,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:68)len=21,0.00011667236186656338,(bf85bf0e-ad64-456c-a10f-aa3ff0bbac67)_(3): (48:68)len=21,,,,,
5,,,,,,,,,,,,,7.226798173571135e-05,7.226798173571135e-05,7.226798173571135e-05,0.00011774827989983101,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:53)len=6,7.226798173571135e-05,(2cd94cbb-c19a-458c-a35b-1c8c0a4c9f7f)_(3): (48:69)len=22,7.226798173571135e-05,(2cd94cbb-c19a-458c-a35b-1c8c0a4c9f7f)_(3): (48:69)len=22,7.226798173571135e-05,(2cd94cbb-c19a-458c-a35b-1c8c0a4c9f7f)_(3): (48:69)len=22,0.00011774827989983101,(11a72609-5edd-4bbf-a959-76636daa2e68)_(3): (48:68)len=21,,,,,
6,,,,,,,,,,,,,7.398653050278682e-05,7.398653050278682e-05,7.398653050278682e-05,0.0001356020013696926,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(3): (48:54)len=7,7.398653050278682e-05,(2cd94cbb-c19a-458c-a35b-1c8c0a4c9f7f)_(3): (48:67)len=20,7.398653050278682e-05,(2cd94cbb-c19a-458c-a35b-1c8c0a4c9f7f)_(3): (48:67)len=20,7.398653050278682e-05,(2cd94cbb-c19a-458c-a35b-1c8c0a4c9f7f)_(3): (48:67)len=20,0.0001356020013696926,(1d34d08e-7a4c-45d4-ac99-e04cf0e98b3b)_(3): (48:68)len=21,,,,,
7,,,,,,"[0.33842242 0.28078217 0.34816039 0.33124405 0.29028223 0.25090375
 0.20364137 0.14777315 0.09375082 0.04794626 0.05023842 0.08880389
 0.14065222 0.18481354 0.23399562 0.27918242 0.30701809 0.32165375
 0.27983873 0.2388605  0.19021988]:b'\xc0#""\x84\xb6\xa8\xd5?\xbd\x15\xbc\xcbU\xf8\xd1?\x07\xb3\xd7\x85BH\xd6?~`i@\x1a3\xd5?,\'v\xeb\xfb\x93\xd2?|\x19N\x9d\xce\x0e\xd0?i\x9f6\xa9\xeb\x10\xca?l\x97\x9b\xfe:\xea\xc2?\xeb\x8e\xd1\xb0\r\x00\xb8?+\xbc@\x9ci\x8c\xa8?quc\xbe\xd9\xb8\xa9?HEd\x01\xda\xbb\xb6?8Q\xc7`\xe4\x00\xc2?_\xd5\x96V\xf8\xa7\xc7?\xdb\x9e\xf4\x81\x91\xf3\xcd?#\xd9\xbb\xf2\x1f\xde\xd1?D\xb7\xa2./\xa6\xd3?\xd4m\x8e\x9f\xf9\x95\xd4?+\x9b\xf1\xb5\xe0\xe8\xd1?\xc3\xa1\x92\x1d\xfb\x92\xce?\xc2n\xb9\xf9\x1fY\xc8?'",21.0,16.05567717552185,0.6068339347839355,0.5830521583557129,0.592134952545166,4.472374439239502,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.004444111725257224,(7394988f-847f-49b4-a64d-1bcb702753a1)_(2): (48:68)len=21,0.004444111725257224,(7394988f-847f-49b4-a64d-1bcb702753a1)_(2): (48:68)len=21,0.004444111725257224,(7394988f-847f-49b4-a64d-1bcb702753a1)_(2): (48:68)len=21,0.004444111725257224,(7394988f-847f-49b4-a64d-1bcb702753a1)_(2): (48:68)len=21,0.004444111725257224,(7394988f-847f-49b4-a64d-1bcb702753a1)_(2): (48:68)len=21,,,,,
9,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.004807426759729786,(43b7a3a6-9a8d-4a03-a80d-7b71d8f56413)_(2): (48:68)len=21,0.004807426759729786,(43b7a3a6-9a8d-4a03-a80d-7b71d8f56413)_(2): (48:68)len=21,0.004807426759729786,(43b7a3a6-9a8d-4a03-a80d-7b71d8f56413)_(2): (48:68)len=21,0.004807426759729786,(43b7a3a6-9a8d-4a03-a80d-7b71d8f56413)_(2): (48:68)len=21,0.004807426759729786,(43b7a3a6-9a8d-4a03-a80d-7b71d8f56413)_(2): (48:68)len=21,,,,,
