,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,3.587918519973755,41.87760329246521,,,,,,,,,,,,,,,,,,,,,,20.0,84.0,84.0,1680.0,6.0
1,,,,,,"(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:73)len=21:b""\xbb\x14.\x16L\x9d\xee\xbfY\x8c\x15\x90Q\xb9\xf1\xbf\xbc\x9av\x10\xbf\x8b\xed\xbf\xb4\x1d\xd7\xaf\t\xe3\xe4\xbf\x9a\xf2|a\x8d\xce\xe2\xbf\xa2\xd8#77d\xeb\xbf\xd5jz\x16\xa5`\xee\xbf\xbbH\xa1,|\x1d\xf2\xbf@@\x08\x12%\xab\xf3\xbfj\xa3:\x1d\xc8\x1a\xf4\xbf\x93\xf7\x16{\xd4D\xf5\xbfK\xcd\x1eh\x05\x06\xf8\xbf^\x92\x14\xa2\x8d\xcd\xf4\xbf'\xce@\x1bo\xe1\xf4\xbf\xa3y\x00\x8b\xfcZ\xf3\xbf\xf3\xaf\xe5\x95\xeb-\xf2\xbf\x91\x18\xf3)\xb6\x18\xf2\xbf\xf2T\xd1i'T\xf2\xbf=\xf9O\x92\ts\xf0\xbf\x0804\xf0\x06e\xef\xbf\xd1$o\x88\nx\xed\xbf""",21.0,0.8757946491241455,0.24309325218200684,0.22758150100708008,0.23674416542053223,0.3144721984863281,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:73)len=21,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:73)len=21,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:73)len=21,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:73)len=21,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:73)len=21,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,0.0003314810846836179,3.670974123013323e-05,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:74)len=22,3.670974123013323e-05,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:74)len=22,3.670974123013323e-05,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:74)len=22,3.670974123013323e-05,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:74)len=22,0.00036819082591375114,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (54:74)len=21,,,,,
4,,,,,,,,,,,,,0.0,0.0,0.0,0.0002925657518801498,0.00013493450907274044,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:72)len=20,0.00013493450907274044,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:72)len=20,0.00013493450907274044,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:72)len=20,0.00013493450907274044,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:72)len=20,0.0004275002609528902,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (52:72)len=21,,,,,
5,,,,,,,,,,,,,0.0001373520941235828,0.0001373520941235828,0.0001373520941235828,0.0004840046782707294,0.00015154781490058072,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:75)len=23,0.0002888999090241635,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (52:73)len=22,0.0002888999090241635,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (52:73)len=22,0.0002888999090241635,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (52:73)len=22,0.0006355524931713102,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (55:75)len=21,,,,,
6,,,,,,,,,,,,,6.755021347683337e-05,6.755021347683337e-05,6.755021347683337e-05,0.0004916420144035012,0.00027112041616906467,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (53:76)len=24,0.00033867062964589804,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (54:73)len=20,0.00033867062964589804,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (54:73)len=20,0.00033867062964589804,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (54:73)len=20,0.0007627624305725658,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (51:71)len=21,,,,,
7,,,,,,"[0.69736289 0.68728173 0.68423205 0.68150533 0.68023366 0.67943281
 0.67243779 0.67674941 0.70009621 0.6913383  0.68318463 0.68106964
 0.6788874  0.68096087 0.68041546 0.68001507 0.67777349 0.68065518
 0.6818335  0.68325092 0.6814905 ]:b""J\xc3r\xf9\xcbP\xe6?\x0f\x97 B6\xfe\xe5?\x1f\xf3N\x9c:\xe5\xe5?\xba\x0e\xeaE\xe4\xce\xe5?\xcbA\ncy\xc4\xe5?\x9c'\xf7\xdd\xe9\xbd\xe5?\xbc\x8b8A\x9c\x84\xe5?I\xda\xaca\xee\xa7\xe5?\x15:\x80*0g\xe6?\xe7\xae8\x82q\x1f\xe6?\n\x19\xd8\x02\xa6\xdc\xe5?\x0b\xa8\xc4\x8dR\xcb\xe5?\xf9\x1e\xf2\x0fr\xb9\xe5?\xf9$\xccpn\xca\xe5?U\x1c\xc7\xa2\xf6\xc5\xe5?\xc6Ds\xf6\xae\xc2\xe5?\xb0\xdf\xe6\x05R\xb0\xe5?\t9,]\xed\xc7\xe5?\xa5\x85ez\x94\xd1\xe5?Y|\xca\n1\xdd\xe5?h\xc4z)\xc5\xce\xe5?""",21.0,0.822883129119873,0.23041462898254395,0.22909855842590332,0.23546981811523438,0.3243682384490967,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.00021497099084293665,0.00021497099084293665,0.00021497099084293665,0.0002641072173213226,0.0018725974391130922,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(1): (57:83)len=27,0.002087568429956029,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(1): (57:78)len=22,0.002087568429956029,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(1): (57:78)len=22,0.002087568429956029,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(1): (57:78)len=22,0.0021367046564344148,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(1): (63:83)len=21,,,,,
9,,,,,,,,,,,,,0.00017563587336954828,0.00017563587336954828,0.00017563587336954828,0.0002247720998479342,0.0019119325565864805,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(1): (57:82)len=26,0.002087568429956029,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(1): (58:79)len=22,0.002087568429956029,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(1): (58:79)len=22,0.002087568429956029,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(1): (58:79)len=22,0.0021367046564344148,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(1): (61:81)len=21,,,,,
