,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,769.795841217041,32996.22986984253,,,,,,,,,,,,,,,,,,,,,,600.0,80.0,80.0,48000.0,120.0
1,,,,,,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:68)len=21:b'\x0b\xc1`\xed\xde\x80\xd1\xbfT\x923\x1c\xe8\x04\xdd\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf',21.0,28.40672731399536,0.9978523254394531,0.979546308517456,0.9956965446472168,13.657060146331787,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:50)len=3,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:67)len=20,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:67)len=20,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:67)len=20,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:68)len=21,,,,,
3,,,,,,"[0.33428939 0.27882098 0.1319576  0.1319576  0.1319576  0.1319576
 0.1319576  0.1319576  0.1319576  0.1319576  0.1319576  0.1319576
 0.1319576  0.1319576  0.1319576  0.1319576  0.1319576  0.1319576
 0.1319576  0.1319576  0.1319576 ]:b'fa\xa1Q\xffd\xd5?\xadi\xab\xf43\xd8\xd1?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?'",21.0,27.99436664581299,1.0055654048919678,1.028151273727417,1.0075695514678955,7.034808397293091,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,1.6517485694865855e-05,1.6517485694865855e-05,1.6517485694865855e-05,1.8555067481662525e-05,0.0003959470402127323,(7135f221-a6c9-437f-a4da-d06a7872bdeb)_(1): (48:79)len=32,0.00041246452590759815,(7135f221-a6c9-437f-a4da-d06a7872bdeb)_(1): (48:69)len=22,0.00041246452590759815,(7135f221-a6c9-437f-a4da-d06a7872bdeb)_(1): (48:69)len=22,0.00041246452590759815,(7135f221-a6c9-437f-a4da-d06a7872bdeb)_(1): (48:69)len=22,0.0004145021076943948,(7135f221-a6c9-437f-a4da-d06a7872bdeb)_(1): (48:68)len=21,,,,,
5,,,,,,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (53:66)len=14:b'3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf',14.0,26.398685932159424,1.0739092826843262,1.060276985168457,1.0904507637023926,7.650511026382446,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:72)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:72)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:72)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (64:77)len=14,,,,,
7,,,,,,"[0.1319576 0.1319576 0.1319576 0.1319576 0.1319576 0.1319576 0.1319576
 0.1319576 0.1319576 0.1319576 0.1319576 0.1319576 0.1319576 0.1319576]:b'\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?'",14.0,26.920610189437866,1.0362939834594727,1.0712473392486572,1.0676853656768799,7.682598352432251,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:67)len=14,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:67)len=14,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:67)len=14,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:67)len=14,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (64:77)len=14,,,,,
9,,,,,,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (53:54)len=2:b'3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf',2.0,20.859667539596558,0.991523265838623,1.0170395374298096,1.0355207920074463,7.791150093078613,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (77:78)len=2,,,,,
11,,,,,,[0.1319576 0.1319576]:b'\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?',2.0,21.45163869857788,1.009075403213501,1.011864185333252,1.0388500690460205,7.790606498718262,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:55)len=2,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:55)len=2,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:55)len=2,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:55)len=2,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (77:78)len=2,,,,,
13,,,,,,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (53:54)len=2:b'3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf',2.0,20.859667539596558,0.991523265838623,1.0170395374298096,1.0355207920074463,7.791150093078613,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (77:78)len=2,,,,,
15,,,,,,[0.1319576 0.1319576]:b'\xca\xb1\x1d\x8f\xfc\xe3\xc0?\xca\xb1\x1d\x8f\xfc\xe3\xc0?',2.0,21.45163869857788,1.009075403213501,1.011864185333252,1.0388500690460205,7.790606498718262,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:55)len=2,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:55)len=2,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:55)len=2,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (54:55)len=2,2.9860146095867688e-06,(98eeac2b-fe9f-4caa-a182-f347533f5a72)_(1): (77:78)len=2,,,,,
17,,,,,,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (53:54)len=2:b'3T\xc5T\xfa\t\xf1\xbf3T\xc5T\xfa\t\xf1\xbf',2.0,20.859667539596558,0.991523265838623,1.0170395374298096,1.0355207920074463,7.791150093078613,,,,,,,,,,,,,,,,,,,
