,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,8.519903659820557,,,,,,,,,,,,,,,,,,,,,,,50.0,385.0,158.5,8594.0,12.0
1,,,,,,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:41)len=29:b'\xfc\xa9\xf1\xd2Mb\x0b@\x02+\x87\x16\xd9N\x10@\x02+\x87\x16\xd9N\x10@\xfc\xa9\xf1\xd2Mb\x0b@\xef\xa7\xc6K7\x89\x01@\xe8\xfb\xa9\xf1\xd2M\xf4?\x83\xc0\xca\xa1E\xb6\xd3?c\x10X9\xb4\xc8\xee\xbf\xe8\xfb\xa9\xf1\xd2M\x00\xc0\xe8\xfb\xa9\xf1\xd2M\x00\xc0\x14\xaeG\xe1z\x14\x03\xc0!\xb0rh\x91\xed\xfc\xbf1\x08\xac\x1cZd\xe7\xbf\x11X9\xb4\xc8v\xe2?\x11X9\xb4\xc8v\xfa?\x14\xaeG\xe1z\x14\x03@\x14\xaeG\xe1z\x14\x03@\xecQ\xb8\x1e\x85\xeb\x04@\xf4\xfd\xd4x\xe9&\x02@\x11X9\xb4\xc8v\xfa?\x11X9\xb4\xc8v\xf2?1\x08\xac\x1cZd\xe7?1\x08\xac\x1cZd\xe7?\x83\xc0\xca\xa1E\xb6\xd3?\x00\x00\x00\x00\x00\x00\x00\x00\x83\xc0\xca\xa1E\xb6\xb3\xbf\xdb\xf9~j\xbct\xa3\xbfq=\n\xd7\xa3p\xbd?q=\n\xd7\xa3p\xbd?',29.0,6.200909852981567,9.014663457870483,9.390741348266602,0.27736377716064453,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.12456138524171965,0.0,,0.0,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:40)len=28,0.0,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:40)len=28,0.12456138524171965,(b02b61c4-a3d7-4628-ace6-6fa2fd5166e6)_(7): (62:65)len=4,0.0,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:40)len=28,,,,,,,
3,,,,,,,,,,,,,0.0,0.12481821999632098,0.0,,0.0,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:41)len=29,0.0,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:41)len=29,0.12481821999632098,(10f1bc81-448a-4a9e-a6b2-bc5b50c187fc)_(7): (66:69)len=4,0.0,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:41)len=29,,,,,,,
4,,,,,,,,,,,,,0.00025118534802517277,0.1277929290527227,0.0,,0.000374663433819488,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:42)len=30,0.0006258487818446608,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:39)len=27,0.12816759248654216,(10f1bc81-448a-4a9e-a6b2-bc5b50c187fc)_(7): (66:68)len=3,0.000374663433819488,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:42)len=30,,,,,,,
5,,,,,,,,,,,,,0.05636755117234159,0.12782807974867874,0.0006882829568480797,,0.0006258487818446608,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:39)len=27,0.05699339995418625,(405cacec-8774-49a9-a7d2-1e02ff01cf99)_(10): (69:103)len=35,0.1284539285305234,(b02b61c4-a3d7-4628-ace6-6fa2fd5166e6)_(7): (62:64)len=3,0.0013141317386927405,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (14:41)len=28,,,,,,,
6,,,,,,,,,,,,,0.06282758206936423,0.13194769826312605,0.0009408497751658631,,0.000731747667951999,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:37)len=25,0.06355932973731623,(405cacec-8774-49a9-a7d2-1e02ff01cf99)_(10): (69:102)len=34,0.13267944593107805,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(3): (42:45)len=4,0.0016725974431178621,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (14:42)len=29,,,,,,,
7,,,,,,,,,,,,,0.06366953399366641,0.133015413556016,0.0008231499083815968,,0.0008787913495278066,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:38)len=26,0.06454832534319423,(28f49481-a0a0-4dc4-a720-9bdf1c11f735)_(10): (57:76)len=20,0.13389420490554382,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(2): (233:236)len=4,0.0017019412579094035,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (15:42)len=28,,,,,,,
8,,,,,,,,,,,,,0.06377775150464973,0.13612745251160094,0.0012857944320742963,,0.00095636238689726,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (13:43)len=31,0.064734113891547,(405cacec-8774-49a9-a7d2-1e02ff01cf99)_(10): (69:101)len=33,0.1370838148984982,(beb79919-3f22-4af8-a3be-d01d43cf2fde)_(8): (71:74)len=4,0.0022421568189715563,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (14:43)len=30,,,,,,,
9,,,,,,,,,,,,,0.06745133663237884,0.13788097764167603,0.0009666829564679805,,0.0013141317386927405,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (14:41)len=28,0.06876546837107159,(4b0dbb41-8d52-48f1-a42c-3fe860e7a113)_(4): (104:120)len=17,0.13919510938036878,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(2): (233:235)len=3,0.002280814695160721,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(5): (15:43)len=29,,,,,,,
