,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,2.2012953758239746,,,,,,,,,,,,,,,,,,,,,,,67.0,24.0,24.0,1608.0,12.0
1,,,,,,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(1): (13:18)len=6:b'\x8d\x0b\x07B\xb2\x00\xc9?{\x9d\xf5\xa5\x8e\x00\xd4\xbf{\x9d\xf5\xa5\x8e\x00\xd4\xbf\xbf\xed* \xc4\x80\xdb\xbf\xbf\xed* \xc4\x80\xdb\xbf\x10A\xd5\xe8\xd5\x00\xbe\xbf',6.0,0.23496794700622559,0.22928738594055176,0.25016093254089355,0.17076396942138672,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.02009662200706727,0.0,,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(1): (13:18)len=6,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(1): (13:18)len=6,0.02009662200706727,(405cacec-8774-49a9-a7d2-1e02ff01cf99)_(2): (16:18)len=3,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(1): (13:18)len=6,,,,,,,
3,,,,,,,,,,,,,0.012716638008872228,0.015470085268613758,0.0,,0.006434157868261337,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(1): (13:17)len=5,0.019150795877133565,(5cec4eb5-edd9-4831-aca3-5cfb04fc6d82)_(2): (19:20)len=2,0.021904243136875095,(759cde66-bacf-43d0-ab1f-9163ce9ff57f)_(2): (15:17)len=3,0.006434157868261337,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(1): (13:17)len=5,,,,,,,
4,,,,,,,,,,,,,0.012981070767921491,0.015031272010824579,0.0001532763543086249,,0.0070775736550874714,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(1): (13:16)len=4,0.02005864442300896,(759cde66-bacf-43d0-ab1f-9163ce9ff57f)_(2): (14:15)len=2,0.02210884566591205,(fc377a4c-4a15-444d-a5e7-ce8a3a578a8e)_(2): (21:23)len=3,0.007230850009396096,(ab9099a4-35a2-40ae-aaf3-05535ec42e08)_(1): (13:18)len=6,,,,,,,
5,,,,,,,,,,,,,0.01373222218271795,0.01598482422585215,0.0007666918744979852,,0.007230850009396096,(ab9099a4-35a2-40ae-aaf3-05535ec42e08)_(1): (13:18)len=6,0.020963072192114046,(aefcfad8-efc8-4849-a3aa-7efe4458a885)_(1): (22:23)len=2,0.023215674235248247,(bd9c66b3-ad3c-4d6d-aa3d-1fa7bc8960a9)_(2): (2:4)len=3,0.007997541883894082,(81f631d4-a392-41a7-a777-a4774c66e0a8)_(1): (13:17)len=5,,,,,,,
6,,,,,,,,,,,,,0.013008063029377714,0.01915090500810531,0.001596163851665217,,0.007997541883894082,(81f631d4-a392-41a7-a777-a4774c66e0a8)_(1): (13:17)len=5,0.021005604913271796,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (22:23)len=2,0.027148446891999394,(a9488d99-0bbb-4599-a1ce-5dd2b45ed1f0)_(1): (20:22)len=3,0.009593705735559298,(b8db0672-f42d-47cc-a0d4-af5974273ca3)_(1): (13:17)len=5,,,,,,,
7,,,,,,[0.70216277 0.63057933 0.57689174 0.5947876  0.55899587 0.48741242]:b'\xa4\x98V\x10\x1ex\xe6?\xceHo\xb1\xb4-\xe4?\xc6\xbf\xbc\xa8\xe5u\xe2?\x07\x02`\x01\x80\x08\xe3?\x86}\x19PK\xe3\xe1?\xf0\xdf\xf5\xdf\xc31\xdf?',6.0,0.13675498962402344,0.18140840530395508,0.2616920471191406,0.15528416633605957,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0005236541792115459,0.014547683531452311,0.0008766392136753485,,0.00680623843114495,(371ecd7b-27cd-4130-a722-9389571aa876)_(1): (10:17)len=8,0.0073298926103564956,(371ecd7b-27cd-4130-a722-9389571aa876)_(1): (10:18)len=9,0.02135392196259726,(371ecd7b-27cd-4130-a722-9389571aa876)_(1): (11:13)len=3,0.007682877644820298,(6c307511-b2b9-437a-a8df-6ec4ce4a2bbd)_(2): (12:18)len=7,,,,,,,
9,,,,,,,,,,,,,0.002311180126614798,0.01814300399349372,0.0006283205069573475,,0.0073298926103564956,(371ecd7b-27cd-4130-a722-9389571aa876)_(1): (10:18)len=9,0.009641072736971294,(5715bd6f-a416-4293-a4c2-e2e3444ea7c8)_(2): (11:20)len=10,0.025472896603850215,(988c24c9-61b1-4d22-a280-1c4510435a10)_(2): (15:17)len=3,0.007958213117313843,(ce88cb2d-d4e8-4839-ac3e-058be0f3eab0)_(1): (12:18)len=7,,,,,,,
10,,,,,,,,,,,,,0.0026614344367372304,0.018424965080535496,0.0010946317389558136,,0.007424613983016326,(371ecd7b-27cd-4130-a722-9389571aa876)_(1): (9:17)len=9,0.010086048419753557,(5715bd6f-a416-4293-a4c2-e2e3444ea7c8)_(2): (11:19)len=9,0.025849579063551825,(dc713d96-0c0f-4195-a17a-f08a1745d6d8)_(1): (12:14)len=3,0.00851924572197214,(fc377a4c-4a15-444d-a5e7-ce8a3a578a8e)_(2): (12:18)len=7,,,,,,,
