,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,2.618086576461792,,,,,,,,,,,,,,,,,,,,,,,27.0,65.0,65.0,1755.0,6.0
1,,,,,,"(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (26:46)len=21:b'\xe9o\x95i,\x08\xd9\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\xe9o\x95i,\x08\xd9\xbf\xe1\xedA\x08\xc8W\xf0\xbf!ezx\x85\xb4\xf3\xbft\xa6;\x15\x91=\xe3\xbft\xa6;\x15\x91=\xe3\xbf\xe9o\x95i,\x08\xd9\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\xe3\xd1\x19Z\x95+\xc7\xbf}\xdb\xc0\xdb\x8b\xc1\xdc?}\xdb\xc0\xdb\x8b\xc1\xdc?}\xdb\xc0\xdb\x8b\xc1\xdc?}\xdb\xc0\xdb\x8b\xc1\xdc?\xc1\xb0\x01\xb3p\xc9\x9d?\xe9o\x95i,\x08\xd9\xbf\xe9o\x95i,\x08\xd9\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\xe3\xd1\x19Z\x95+\xc7\xbft\xa6;\x15\x91=\xe3\xbft\xa6;\x15\x91=\xe3\xbf'",21.0,0.4738500118255615,0.4583277702331543,0.7368323802947998,0.1563246250152588,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.04117135904875507,0.0,,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (26:45)len=20,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (26:46)len=21,0.04117135904875507,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(2): (32:34)len=3,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (26:45)len=20,,,,,,,
3,,,,,,"[0.49303261 0.49303261 0.52396992 0.52396992 0.52396992 0.52396992
 0.49303261 0.46209703 0.43116146 0.43116146 0.49303261 0.49303261
 0.52396992 0.49303261 0.46209703 0.49303261 0.49303261 0.40022068
 0.40022068 0.40022068 0.43116146]:b'\r\x91[\xa6\xd8\x8d\xdf?\r\x91[\xa6\xd8\x8d\xdf?\x83\x90L\x91\\\xc4\xe0?\x83\x90L\x91\\\xc4\xe0?\x83\x90L\x91\\\xc4\xe0?\x83\x90L\x91\\\xc4\xe0?\r\x91[\xa6\xd8\x8d\xdf?1\x95\x06n\xff\x92\xdd?r\xc0;7&\x98\xdb?r\xc0;7&\x98\xdb?\r\x91[\xa6\xd8\x8d\xdf?\r\x91[\xa6\xd8\x8d\xdf?\x83\x90L\x91\\\xc4\xe0?\r\x91[\xa6\xd8\x8d\xdf?1\x95\x06n\xff\x92\xdd?\r\x91[\xa6\xd8\x8d\xdf?\r\x91[\xa6\xd8\x8d\xdf?P\x92\xe417\x9d\xd9?P\x92\xe417\x9d\xd9?P\x92\xe417\x9d\xd9?r\xc0;7&\x98\xdb?'",21.0,0.45449042320251465,0.49908971786499023,0.6071467399597168,0.14183449745178223,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.006454672899451733,0.019349252918585774,0.00019008191001693153,,0.008121699722078234,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(2): (25:43)len=19,0.014576372621529967,(3139d32c-93cd-49bf-ac94-1cf0dc98d2c1)_(2): (25:43)len=19,0.027470952640664008,(47378190-96da-4dac-a2ff-5d2a386ecbe0)_(1): (8:10)len=3,0.008311781632095165,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(2): (25:44)len=20,,,,,,,
5,,,,,,"(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (24:59)len=36:b""t\xa6;\x15\x91=\xe3\xbf\xe1\xedA\x08\xc8W\xf0\xbf\xe9o\x95i,\x08\xd9\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\xe9o\x95i,\x08\xd9\xbf\xe1\xedA\x08\xc8W\xf0\xbf!ezx\x85\xb4\xf3\xbft\xa6;\x15\x91=\xe3\xbft\xa6;\x15\x91=\xe3\xbf\xe9o\x95i,\x08\xd9\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\xe3\xd1\x19Z\x95+\xc7\xbf}\xdb\xc0\xdb\x8b\xc1\xdc?}\xdb\xc0\xdb\x8b\xc1\xdc?}\xdb\xc0\xdb\x8b\xc1\xdc?}\xdb\xc0\xdb\x8b\xc1\xdc?\xc1\xb0\x01\xb3p\xc9\x9d?\xe9o\x95i,\x08\xd9\xbf\xe9o\x95i,\x08\xd9\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\xe3\xd1\x19Z\x95+\xc7\xbft\xa6;\x15\x91=\xe3\xbft\xa6;\x15\x91=\xe3\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\n\xa9p>T\x9e\xce?\n\xa9p>T\x9e\xce?\xe3\xd1\x19Z\x95+\xc7\xbf\n\xa9p>T\x9e\xce?#\xf3mf\x99\n\x01@.3l\x94\xf5[\xfb?\xe1\xedA\x08\xc8W\xf0\xbf0(x\xaf\xff\xef\x03\xc0\n\xa9p>T\x9e\xce?\xc8\x03\x91E\x9a\xb8\xfe?\xc8\x03\x91E\x9a\xb8\xfe?\xfe\x90\n\xa5'\xd3\xeb?""",36.0,0.3903200626373291,1.4562256336212158,0.8232955932617188,0.15288996696472168,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.09445462782360212,0.0,,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (23:59)len=37,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (24:59)len=36,0.09445462782360212,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (33:35)len=3,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (23:59)len=37,,,,,,,
7,,,,,,"[0.58584108 0.49303261 0.33835646 0.27647491 0.30741568 0.40022068
 0.46209703 0.46209703 0.46209703 0.43116146 0.46209703 0.46209703
 0.49303261 0.49303261 0.52396992 0.52396992 0.52396992 0.52396992
 0.49303261 0.46209703 0.43116146 0.43116146 0.49303261 0.49303261
 0.52396992 0.49303261 0.46209703 0.49303261 0.49303261 0.40022068
 0.40022068 0.40022068 0.43116146 0.40022068 0.43116146 0.58584108]:b'9\xa0\xbb\xc85\xbf\xe2?\r\x91[\xa6\xd8\x8d\xdf?\xb28G\xd7\xa1\xa7\xd5?K\xc8)\xcf\xc3\xb1\xd1?\xd92\xce\xcc\xb2\xac\xd3?P\x92\xe417\x9d\xd9?1\x95\x06n\xff\x92\xdd?1\x95\x06n\xff\x92\xdd?1\x95\x06n\xff\x92\xdd?r\xc0;7&\x98\xdb?1\x95\x06n\xff\x92\xdd?1\x95\x06n\xff\x92\xdd?\r\x91[\xa6\xd8\x8d\xdf?\r\x91[\xa6\xd8\x8d\xdf?\x83\x90L\x91\\\xc4\xe0?\x83\x90L\x91\\\xc4\xe0?\x83\x90L\x91\\\xc4\xe0?\x83\x90L\x91\\\xc4\xe0?\r\x91[\xa6\xd8\x8d\xdf?1\x95\x06n\xff\x92\xdd?r\xc0;7&\x98\xdb?r\xc0;7&\x98\xdb?\r\x91[\xa6\xd8\x8d\xdf?\r\x91[\xa6\xd8\x8d\xdf?\x83\x90L\x91\\\xc4\xe0?\r\x91[\xa6\xd8\x8d\xdf?1\x95\x06n\xff\x92\xdd?\r\x91[\xa6\xd8\x8d\xdf?\r\x91[\xa6\xd8\x8d\xdf?P\x92\xe417\x9d\xd9?P\x92\xe417\x9d\xd9?P\x92\xe417\x9d\xd9?r\xc0;7&\x98\xdb?P\x92\xe417\x9d\xd9?r\xc0;7&\x98\xdb?9\xa0\xbb\xc85\xbf\xe2?'",36.0,0.4239017963409424,0.46831393241882324,0.6434962749481201,0.15668535232543945,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.008850592122558832,0.0376172949207518,0.0020232555705472673,,0.016066954823022207,(371ecd7b-27cd-4130-a722-9389571aa876)_(2): (12:43)len=32,0.02491754694558104,(3139d32c-93cd-49bf-ac94-1cf0dc98d2c1)_(2): (12:43)len=32,0.053684249743774004,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(2): (0:2)len=3,0.018090210393569475,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(2): (12:47)len=36,,,,,,,
9,,,,,,"(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (6:62)len=57:b""}\xdb\xc0\xdb\x8b\xc1\xdc?\n\xa9p>T\x9e\xce?}\xdb\xc0\xdb\x8b\xc1\xdc?\xc1\xb0\x01\xb3p\xc9\x9d?t\xa6;\x15\x91=\xe3\xbf\xe3\xd1\x19Z\x95+\xc7\xbfkS\x86\xbb\xc4\xa2\xf4?\xc8\x03\x91E\x9a\xb8\xfe?\xfe\x90\n\xa5'\xd3\xeb?\rT!yB\xca\xfd\xbf\rT!yB\xca\xfd\xbf\xb4\xb4\xcf:\x15\xf6\xe9\xbf\n\xa9p>T\x9e\xce?\xc8\x03\x91E\x9a\xb8\xfe?\x05\xe3\xe0\xd21g\x04@MC\xf9']\xff\xf7?}\xdb\xc0\xdb\x8b\xc1\xdc?t\xa6;\x15\x91=\xe3\xbft\xa6;\x15\x91=\xe3\xbf\xe1\xedA\x08\xc8W\xf0\xbf\xe9o\x95i,\x08\xd9\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\xe9o\x95i,\x08\xd9\xbf\xe1\xedA\x08\xc8W\xf0\xbf!ezx\x85\xb4\xf3\xbft\xa6;\x15\x91=\xe3\xbft\xa6;\x15\x91=\xe3\xbf\xe9o\x95i,\x08\xd9\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\xe3\xd1\x19Z\x95+\xc7\xbf}\xdb\xc0\xdb\x8b\xc1\xdc?}\xdb\xc0\xdb\x8b\xc1\xdc?}\xdb\xc0\xdb\x8b\xc1\xdc?}\xdb\xc0\xdb\x8b\xc1\xdc?\xc1\xb0\x01\xb3p\xc9\x9d?\xe9o\x95i,\x08\xd9\xbf\xe9o\x95i,\x08\xd9\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\xe3\xd1\x19Z\x95+\xc7\xbft\xa6;\x15\x91=\xe3\xbft\xa6;\x15\x91=\xe3\xbf\xe3\xd1\x19Z\x95+\xc7\xbf\n\xa9p>T\x9e\xce?\n\xa9p>T\x9e\xce?\xe3\xd1\x19Z\x95+\xc7\xbf\n\xa9p>T\x9e\xce?#\xf3mf\x99\n\x01@.3l\x94\xf5[\xfb?\xe1\xedA\x08\xc8W\xf0\xbf0(x\xaf\xff\xef\x03\xc0\n\xa9p>T\x9e\xce?\xc8\x03\x91E\x9a\xb8\xfe?\xc8\x03\x91E\x9a\xb8\xfe?\xfe\x90\n\xa5'\xd3\xeb?}\xdb\xc0\xdb\x8b\xc1\xdc?!ezx\x85\xb4\xf3\xbf\xcd\xdc\xe8\x08\x85m\xfa\xbf""",57.0,0.4248690605163574,0.5263586044311523,0.655693769454956,0.15877032279968262,,,,,,,,,,,,,,,,,,,,
