,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,132.5323839187622,3821.068435192108,,,,,,,,,,,,,,,,,,,,,,100.0,275.0,275.0,27500.0,24.0
1,,,,,,"(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:188)len=82:b'\x0b\xd68\x9b\x8e\xa0\xf3\xbf\x7f\xcb\xf7\xe7\xfd\xfa\xf2\xbf\xbc\xe3\xb9cV\xd4\xf2\xbf\xde\xe3L\x13\xb6\x9f\xf1\xbf\x83\xec\xabauz\xf1\xbfG8-x\xd1\xd7\xf0\xbf\x15\xbb*\x0eo\xef\xef\xbf\xe1\xb7!\xc6k\xbe\xee\xbf\xd78\x9b\x8e\x00\xae\xec\xbfs}\xe5b\x88s\xec\xbf*\xa0y\xceP\x9b\xed\xbfL\xd2\xa9\xe9\x82\x13\xeb\xbf\x17\xe8E\xb3\xd3K\xe8\xbf\xb2`$\xact\xf4\xe9\xbfD\xe9\x03\xb0\x9eF\xe7\xbf\xf2\xd6u\x7f\'\x13\xe6\xbf\x18!~\xf6\nh\xe3\xbf\xa6y\xae\x8c\x99\xa6\xe3\xbf\x7f\xc3\xe1XY\x93\xe2\xbfv>4\xdaG\x1a\xe2\xbf\xd4D~\x81I\xbf\xdf\xbf\x10\xd8\x8bW\x0f\xce\xde\xbf\xa3\xb0I\x8658\xde\xbfAJ\xaa\xbe\x0c\xa9\xd8\xbfP\x8a5\xe0\x1c\x03\xd8\xbf\x92E7NLO\xd4\xbfR\xf7\x1a\xe5\r.\xd6\xbfFF\x83\xeb\xbc\x93\xd2\xbf:\xc5.z<g\xce\xbf@\x9f+\xbe_\xd4\xcd\xbf#g\xa3k\rB\xc8\xbf\x06\xd0\xb5P\xae\x00\xc1\xbfU\xafS\x93}\xe3\xc2\xbf\n\x91\xa1\x9d\xb2\x1e\xbc\xbf\xa6\xc9\xbf\xa8:\xea\xb2\xbf\xf6\xd0d\x1d\x93g\x96?Gq&W\xc5\xdc\x9a\xbf\x891\xde\x0f\xee\x00~\xbfQ\x87\x915U\xbd\x9d?\x9f\x01\xf5f\xd4\xfc\xb4?\x1b\x04\xf0+\xe3\x9a\xb6?r\x1a\xfd\xc3\xf1\xd7\xbe?\xe0Y\x0e6m-\xcc?\xc7\xc6Q\xf34\xe4\xcb?:\x04\xd0 \xec\xb1\xcc?\xd9\xe0\x8e\x81\x86\x88\xd1?\xdf<Q\xe9\x927\xcb?<\xf7?<""\x11\xca?\x97\x80\xeb\xcc53\xcc?\xe8(\xee\x15i\xe4\xd4?\xdd\x19u\xc6Zp\xd2?\x1d\x12\xad\xcb\xdfs\xd4?\x04\xe9\x9c~\xd4\x8f\xd8?T\xfa\x8d\x9f[""\xd9?.\x9fY\xd0\x83\xd4\xda?\xe4\xc4\xb2\xf4\xfc\xc4\xd7?\xe4\x04;8\xb7\x8d\xd9?\x0cm\xe7\x98\x7f\xb6\xd9?\x87\xe1\x9f)\xa6\xd8\xda?\x88\xd8?\xd3;\x8a\xe0?%\xcdz\x8cM\x86\xdf?\xbd\xd2\xe8\xc4\xd4L\xdb?\x1a\xa4""F\xb6P\xe0?\xb0\x87@?\x9d|\xdd?\x93\x985\xebk\xe1\xe0?\xd8\xe4:\xd7A\xcf\xe0?\xdahJ\xfc\x9bA\xe1?3\xdf\x7f3J\x1a\xe0?\xf9\x856\x84S\x94\xe0?\x0b\x04d\\/\xf5\xe0?\x8b\x91\xa1:\x88C\xe1?\x16\xe8\x0b\x08J=\xe1?\x12\xbfA\xff-V\xe1?|An3\xd3e\xe1?\xf1R\x7f\xf7m\xcc\xe3?\xe6\xd221\xe1\xc0\xe2?R>\xa9\x9b0F\xe3?\x18t)K\x00 \xe3?\xcf\x0e\x1b\xd9S\xfa\xe3?\x11\x04e\xa6\xf6z\xe4?iXJ\x9e\x04\xb9\xe3?\x04\x87\xfe\xa6\x03\xbb\xe4?'",82.0,64.22413229942322,1.4029324054718018,1.421935796737671,1.4284114837646484,12.917136430740356,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:188)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:188)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:188)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:188)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:188)len=82,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,3.987288124019493e-05,6.747414789129184e-06,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:189)len=83,6.747414789129184e-06,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:189)len=83,6.747414789129184e-06,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:189)len=83,6.747414789129184e-06,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:189)len=83,4.662029602932412e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (108:189)len=82,,,,,
4,,,,,,,,,,,,,1.8502747498136427e-05,1.8502747498136427e-05,1.8502747498136427e-05,5.8585843418327965e-05,1.2722055953527438e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:190)len=84,3.122480345166387e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:187)len=81,3.122480345166387e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:187)len=81,3.122480345166387e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:187)len=81,7.13078993718554e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (109:190)len=82,,,,,
5,,,,,,,,,,,,,8.85130150908975e-06,8.85130150908975e-06,8.85130150908975e-06,8.3731462903364e-05,3.122480345166387e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:187)len=81,4.007610496075362e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (108:188)len=81,4.007610496075362e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (108:188)len=81,4.007610496075362e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (108:188)len=81,0.00011495626635502787,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (106:187)len=82,,,,,
6,,,,,,,,,,,,,2.0971944162492343e-05,2.0971944162492343e-05,2.0971944162492343e-05,0.00015210442765289676,3.141754915198278e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:186)len=80,5.238949331447512e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (108:190)len=83,5.238949331447512e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (108:190)len=83,5.238949331447512e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (108:190)len=83,0.00018352197680487954,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (105:186)len=82,,,,,
7,,,,,,,,,,,,,2.5543267118418445e-05,2.5543267118418445e-05,2.5543267118418445e-05,0.0002765426308578017,4.007610496075362e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (108:188)len=81,6.561937207917206e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (109:189)len=81,6.561937207917206e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (109:189)len=81,6.561937207917206e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (109:189)len=81,0.00031661873581855535,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (104:185)len=82,,,,,
8,,,,,,,,,,,,,3.6792944695544735e-05,3.6792944695544735e-05,3.6792944695544735e-05,0.0002848553652690108,4.662029602932412e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (108:189)len=82,8.341324072486885e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (106:188)len=83,8.341324072486885e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (106:188)len=83,8.341324072486885e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (106:188)len=83,0.00033147566129833496,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (110:191)len=82,,,,,
9,,,,,,,,,,,,,5.867527682745698e-05,5.867527682745698e-05,5.867527682745698e-05,0.00033170124886335695,4.939323391583451e-05,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (107:191)len=85,0.00010806851074329149,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (109:191)len=83,0.00010806851074329149,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (109:191)len=83,0.00010806851074329149,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (109:191)len=83,0.00038109448277919147,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(2): (111:192)len=82,,,,,
