,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,15.0,,,11.981939315795898,644.4156928062439,,,,,,,,,,,,,,,,,,,,,,36.0,150.0,150.0,5400.0,6.0
1,,,,,,"(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:137)len=41:b'\x91\xed|?5^\xf4\xbf\xfc\xa9\xf1\xd2Mb\xf4\xbfffffff\xf4\xbf<\xdfO\x8d\x97n\xf4\xbf\xd1""\xdb\xf9~j\xf4\xbf\'1\x08\xac\x1cZ\xf4\xbfR\xb8\x1e\x85\xebQ\xf4\xbf?5^\xbaI\x0c\xf2\xbf\xaa\xf1\xd2Mb\x10\xe8\xbfR\xb8\x1e\x85\xebQ\xd8\xbf\x12\x83\xc0\xca\xa1E\xc6\xbf\x83\xc0\xca\xa1E\xb6\xb3\xbf\x9d\xc2\xa4\x99b^\x82\xbf\xeb\x9f\x9b\x8e\xe4\x18G\xbf\xc1\xdfl\xc9c3\xa5?\x8f\xfb\xe8)qcS?^\xb2\xc9\x98\xbd\x97\xa8?\x88\x9e\x94I\rm\xa0?\x1f\xca\xe5yOi\xa0?\xe5JmDX\xd6\xa4?\xb7\xc9\x9e\xc0\x18\xea\x9e?\xe8\xe0\xa8\xfbQ\xeb\xa1?\x8a\xec\xff\xf3f\x9a\x85?\xe1\x93D\xb2$\x99\x9f?\x91\x00\x88\x8f\xd5\x93\\\xbf0\xe0\x038\xd8\xbby?\xebnlg0\xae\x80?S\xefFr;,\x93?\x86upc\x84\xc6p\xbf\xbd\x9e\xda""\xaa\xe5{\xbf;\xc0\xa0@0+\xa2?C\x84\xfe\x90\x1e\x89\x9a?\xc3^\xa7\xdf%;q?\xb9ei\xa2-\xb9\xa2?=+Z\x9a\n\xda\xa5?0:\xf3\x87s\xc8\xa8?\xf5\xa9`\xddC\x85\xa5?,8`\xb0K\xef\x9b?\xe8\xa6|\xf1\r\xd1\xa8?\x7f\xd1\xcc0AO\xa1?#\x07\xc9[\xde\xb7\xaa?'",41.0,5.233996868133545,0.30969762802124023,0.30735325813293457,0.31500816345214844,1.594482421875,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0002444382982879232,0.0,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:137)len=41,0.0,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:137)len=41,0.0,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:137)len=41,0.0,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:137)len=41,0.0002444382982879232,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (93:133)len=41,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,0.00025562471686674747,4.2986347536027054e-06,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:137)len=40,4.2986347536027054e-06,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:137)len=40,4.2986347536027054e-06,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:137)len=40,4.2986347536027054e-06,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:137)len=40,0.0002599233516203502,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (92:132)len=41,,,,,
4,,,,,,,,,,,,,3.7231097090305613e-06,3.7231097090305613e-06,3.7231097090305613e-06,0.00027407908570554747,1.3057103064066481e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (99:137)len=39,1.6780212773097042e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:137)len=42,1.6780212773097042e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:137)len=42,1.6780212773097042e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:137)len=42,0.00028713618876961394,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (94:134)len=41,,,,,
5,,,,,,,,,,,,,6.297769070713225e-06,6.297769070713225e-06,6.297769070713225e-06,0.0002844382888234724,1.6780212773097042e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:137)len=42,2.3077981843810268e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:138)len=42,2.3077981843810268e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:138)len=42,2.3077981843810268e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:138)len=42,0.0003012185015965694,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (91:131)len=41,,,,,
6,,,,,,,,,,,,,4.527651181532063e-06,4.527651181532063e-06,4.527651181532063e-06,0.0003589744716176968,2.3077981843810268e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:138)len=42,2.760563302534233e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:138)len=41,2.760563302534233e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:138)len=41,2.760563302534233e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:138)len=41,0.0003820524534615071,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (90:130)len=41,,,,,
7,,,,,,,,,,,,,4.4936365038351216e-06,4.4936365038351216e-06,4.4936365038351216e-06,0.0007125900459884965,2.4782414776495865e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:139)len=43,2.9276051280330987e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:139)len=42,2.9276051280330987e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:139)len=42,2.9276051280330987e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:139)len=42,0.0007373724607649924,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (89:129)len=41,,,,,
8,,,,,,,,,,,,,8.938079791467187e-06,8.938079791467187e-06,8.938079791467187e-06,0.005580772417368705,2.760563302534233e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:138)len=41,3.654371281680952e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (99:138)len=40,3.654371281680952e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (99:138)len=40,3.654371281680952e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (99:138)len=40,0.005608378050394047,(3eabedcb-baa8-4dd4-a8bd-64072bcfbe01)_(3): (74:114)len=41,,,,,
9,,,,,,,,,,,,,8.84944977272964e-06,8.84944977272964e-06,8.84944977272964e-06,0.005755099966154619,2.9276051280330987e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (98:139)len=42,3.8125501053060626e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (99:139)len=41,3.8125501053060626e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (99:139)len=41,3.8125501053060626e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (99:139)len=41,0.005784376017434949,(3eabedcb-baa8-4dd4-a8bd-64072bcfbe01)_(3): (75:115)len=41,,,,,
10,,,,,,,,,,,,,2.8841592002688357e-05,2.8841592002688357e-05,2.8841592002688357e-05,0.00590141357807521,3.124776801657173e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (101:137)len=37,6.0089360019260084e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (100:139)len=40,6.0089360019260084e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (100:139)len=40,6.0089360019260084e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (100:139)len=40,0.0059326613460917825,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (99:139)len=41,,,,,
11,,,,,,,,,,,,,4.373316806986921e-05,4.373316806986921e-05,4.373316806986921e-05,0.005943232618051689,3.52596875991698e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (100:137)len=38,7.8992855669039e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:136)len=40,7.8992855669039e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:136)len=40,7.8992855669039e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (97:136)len=40,0.005978492305650859,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (98:138)len=41,,,,,
12,,,,,,,,,,,,,5.847066485830284e-05,5.847066485830284e-05,5.847066485830284e-05,0.005948315353610935,3.654371281680952e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (99:138)len=40,9.501437767511236e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:136)len=41,9.501437767511236e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:136)len=41,9.501437767511236e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:136)len=41,0.005984859066427745,(3eabedcb-baa8-4dd4-a8bd-64072bcfbe01)_(3): (72:112)len=41,,,,,
13,,,,,,,,,,,,,5.806189363038645e-05,5.806189363038645e-05,5.806189363038645e-05,0.006165527624201712,3.8125501053060626e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (99:139)len=41,9.618739468344708e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:135)len=40,9.618739468344708e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:135)len=40,9.618739468344708e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:135)len=40,0.006203653125254773,(3eabedcb-baa8-4dd4-a8bd-64072bcfbe01)_(3): (73:113)len=41,,,,,
14,,,,,,,,,,,,,7.96562529964647e-05,7.96562529964647e-05,7.96562529964647e-05,0.006274948565113845,3.938369230003936e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:138)len=43,0.00011903994529650406,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (95:136)len=42,0.00011903994529650406,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (95:136)len=42,0.00011903994529650406,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (95:136)len=42,0.006314332257413884,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (97:137)len=41,,,,,
15,,,,,,,,,,,,,7.961541075360604e-05,7.961541075360604e-05,7.961541075360604e-05,0.006557908831714615,4.087624119285538e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (96:139)len=44,0.00012049165194646142,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (95:135)len=41,0.00012049165194646142,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (95:135)len=41,0.00012049165194646142,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (95:135)len=41,0.00659878507290747,(3eabedcb-baa8-4dd4-a8bd-64072bcfbe01)_(3): (71:111)len=41,,,,,
16,,,,,,,,,,,,,9.856409042457035e-05,9.856409042457035e-05,9.856409042457035e-05,0.0067294690331718135,4.1451120838305684e-05,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (95:137)len=43,0.00014001521126287604,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (94:135)len=42,0.00014001521126287604,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (94:135)len=42,0.00014001521126287604,(29a3b2e9-5d65-4441-a588-42dea2bc372f)_(3): (94:135)len=42,0.0067709201540101195,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (96:136)len=41,,,,,
