,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,1.9300813674926758,,,,,,,,,,,,,,,,,,,,,,,20.0,24.0,24.0,480.0,6.0
1,,,,,,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:18)len=6:b'S\x04\x00\x00\x00\x00\x00\x00h\x03\x00\x00\x00\x00\x00\x00\xfd\x02\x00\x00\x00\x00\x00\x008\x03\x00\x00\x00\x00\x00\x00\x08\x04\x00\x00\x00\x00\x00\x00\xd5\x04\x00\x00\x00\x00\x00\x00',6.0,0.1807091236114502,0.2084212303161621,0.11510372161865234,0.16729378700256348,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.08686440677966106,0.0,,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:18)len=6,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:18)len=6,0.08686440677966106,(5be6128e-18c2-4797-a142-ea7d17be3111)_(2): (13:17)len=5,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:18)len=6,,,,,,,
3,,,,,,"[0.74629237 0.62711864 0.55137712 0.5434322  0.67319915 0.64830508]:b""\xfc\xf2\xd8\x8a\xa0\xe1\xe7?'u_\x1e[\x11\xe4?\xf3\xd8\x8a\xa0\xe1\xa4\xe1?\xa1\xe1\xa4\xee\xcbc\xe1?8\xa9\xfb\xf2\xd8\x8a\xe5?\xae\x08\x1aN\xea\xbe\xe4?""",6.0,0.07888579368591309,0.22157692909240723,0.13675808906555176,0.18089580535888672,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.0021186440677966045,0.03548728813559321,0.0,,0.05720338983050843,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (13:18)len=6,0.05932203389830504,(bd9c66b3-ad3c-4d6d-aa3d-1fa7bc8960a9)_(1): (14:17)len=4,0.09269067796610164,(759cde66-bacf-43d0-ab1f-9163ce9ff57f)_(2): (18:20)len=3,0.05720338983050843,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (13:19)len=7,,,,,,,
5,,,,,,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:21)len=9:b'S\x04\x00\x00\x00\x00\x00\x00h\x03\x00\x00\x00\x00\x00\x00\xfd\x02\x00\x00\x00\x00\x00\x008\x03\x00\x00\x00\x00\x00\x00\x08\x04\x00\x00\x00\x00\x00\x00\xd5\x04\x00\x00\x00\x00\x00\x00<\x04\x00\x00\x00\x00\x00\x00\xf7\x02\x00\x00\x00\x00\x00\x00\x1f\x02\x00\x00\x00\x00\x00\x00',9.0,0.0807790756225586,0.13579463958740234,0.1200554370880127,0.17480969429016113,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.14777542372881358,0.0,,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:21)len=9,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:21)len=9,0.14777542372881358,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (12:15)len=4,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:21)len=9,,,,,,,
7,,,,,,"[0.74629237 0.62711864 0.55137712 0.5434322  0.67319915 0.64830508
 0.56514831 0.45074153 0.33103814]:b""\xfc\xf2\xd8\x8a\xa0\xe1\xe7?'u_\x1e[\x11\xe4?\xf3\xd8\x8a\xa0\xe1\xa4\xe1?\xa1\xe1\xa4\xee\xcbc\xe1?8\xa9\xfb\xf2\xd8\x8a\xe5?\xae\x08\x1aN\xea\xbe\xe4?qR\xf7\xe5\xb1\x15\xe2?h8\xa9\xfb\xf2\xd8\xdc?+\x82\x86\x93\xba/\xd5?""",9.0,0.17515993118286133,0.13117218017578125,0.1321103572845459,0.20972824096679688,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.02754237288135597,0.10222457627118653,0.0,,0.05720338983050843,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (13:21)len=9,0.0847457627118644,(bd9c66b3-ad3c-4d6d-aa3d-1fa7bc8960a9)_(1): (18:21)len=4,0.15942796610169496,(5be6128e-18c2-4797-a142-ea7d17be3111)_(2): (13:16)len=4,0.05720338983050843,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (13:22)len=10,,,,,,,
9,,,,,,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (6:22)len=17:b'\x12\x00\x00\x00\x00\x00\x00\x00K\x00\x00\x00\x00\x00\x00\x00\xb9\x00\x00\x00\x00\x00\x00\x00\xdf\x00\x00\x00\x00\x00\x00\x00*\x01\x00\x00\x00\x00\x00\x00;\x02\x00\x00\x00\x00\x00\x00\x14\x04\x00\x00\x00\x00\x00\x00S\x04\x00\x00\x00\x00\x00\x00h\x03\x00\x00\x00\x00\x00\x00\xfd\x02\x00\x00\x00\x00\x00\x008\x03\x00\x00\x00\x00\x00\x00\x08\x04\x00\x00\x00\x00\x00\x00\xd5\x04\x00\x00\x00\x00\x00\x00<\x04\x00\x00\x00\x00\x00\x00\xf7\x02\x00\x00\x00\x00\x00\x00\x1f\x02\x00\x00\x00\x00\x00\x00y\x01\x00\x00\x00\x00\x00\x00',17.0,0.08640909194946289,0.13524746894836426,0.21121621131896973,0.21222710609436035,,,,,,,,,,,,,,,,,,,,
