,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,16.163113594055176,,,,,,,,,,,,,,,,,,,,,,,28.0,301.0,301.0,8428.0,6.0
1,,,,,,"(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:179)len=82:b']\xccdrI\xd9\xee?\xba\xbb\x10\xa3\xce\xd9\xee?\xb3\xb8Z\x82\xe7\xd9\xee?\x16T\xaf\xb6\xbd\xd8\xee?\x1c}i\xddH\xf1\xed?Q\xf5L\xab\xf8\xf1\xed?\xd8\xe0T\xd6\xfc\xd9\xee?\xf5\xa9:\x16\xa1\xd9\xee?\xc1)A\xb9L\xf1\xed?\xaaF\xf1""\xfa\xf2\xed?Ccy\x99Y\xf2\xed?\x19\xc1\xcef8\xf2\xed?\xf618\xad\x88\xd8\xee?\xf8\x1d\xfd\x0e\xc9\xd9\xee?\xfc3\xa4\x06\xaa\xf1\xed?\xcf\x06\x05J\xaf\xf2\xed?{[<\xfe\x03\xf3\xed?\x03\t\xab-L\xf1\xed?\x0e\x16N\xd2\xfc\xf1\xed?\xa9)\xb0\x9d{\xf1\xed?\xd3\x1a\xbd\xf9\x91\x0b\xed?0\xd9\x99\xbe\xae\xf1\xed?4\xdf\x1c\t\x8f\xf1\xed?$N\xbc=\xe7\xf2\xed?\x86\xdd^o\xee\xf1\xed?\xe4\xb0f*\xe5\xf1\xed?\x12\x02\xa8\x989\xf3\xed?\xdbR\xc5\\k\xf2\xed?\xf4\xe0\xac\x90\x0b\xf1\xed?L\xc4|\xf5\xc8\xf1\xed?\xad~\x95\x11Q\x0b\xed?wc\xc5\x99\xf4\xf1\xed?\xde\x08\x07R\x94\xf1\xed?24\x85kA\xf1\xed?\xa1\x97Y\x9d\xff\x0b\xed?[PJ\xce\xaa\x0b\xed?\xe3\xbe\x9b\x8f\xe7\n\xed?-\xd3\xab\xd8\xca\xf1\xed?A\x85\xe1+\xd3\xf2\xed?\xf5\x8d\\\xf5\x88\n\xed?Y\xfe\x191\xf5\x0b\xed?LXU\x0e\xb1\n\xed?\xcc:\xebl+\n\xed?\xc8Zd\xb7\xa6\x0b\xed?\x1c\x19\x16i\x03\x0c\xed?-\x11\x7f\x7f\x10\n\xed?<\x8b\x18U\n\n\xed?t\xe7\xec\x11(\n\xed?X\x1b\xa5C\x8e\n\xed?\xc5\x13I\r\xd0\n\xed?\xf9*}\x11\x02\x0c\xed?\xc2\xc5\xc4\xc5\xd5\xf1\xed?\xb1D\xf3B2\x0b\xed?\x14R\x86\xc35\x0b\xed?\x16\\\xde\xe2\x02\x0c\xed?\xb6^\xdb\xf4\xca\t\xed?\xd7M\xe7\x92\xc3\n\xed?5Q\xf8*\x01\n\xed?\'\xe6r\xe6\xcb\t\xed?\xa2\x14\x84]\xda\xf1\xed?\xea\xb9\x9eK\xe5\x0b\xed?[\xcd\x9d\r\xb7\x0b\xed?\x19#\x8eL\xf2\t\xed?=\xb9\xc7NO\n\xed?\xbdX\xd6\x05\xd5\t\xed?\x1c\x0c\xf1\x1f=\x0b\xed?\xfd\xcb\x83.\xc0""\xec?\x7f\x01\xb5\xff\x9e\x0b\xed?\x83\xf8#\xb9\xba\x0b\xed?\x10\x81\x1b\x10\xbe#\xec?\xda\x07\x93\xc1\xd5\n\xed?5\x95\x87}\xe9\n\xed?\xaa\xf4\xb0\xa3\xb3$\xec?G\xedv\xa4\x97$\xec?\xce\xf2D)\x84""\xec?\xde|\xfa:6#\xec?\xcd\x97Q\x0b\xa9\x0b\xed?\xe0m{\x0en#\xec?\x84\xed\xab\x9b $\xec?\xeaT""\x1e\xc3""\xec?\xae\xfa3\xee\x93$\xec?\x84\xf6f\xab\xfd#\xec?'",82.0,11.14244270324707,16.33441996574402,13.152053356170654,0.3975057601928711,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.006830424800085508,0.0,,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:179)len=82,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:179)len=82,0.006830424800085508,(bd9c66b3-ad3c-4d6d-aa3d-1fa7bc8960a9)_(1): (66:68)len=3,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:179)len=82,,,,,,,
3,,,,,,,,,,,,,0.0,0.006885635133988036,0.0,,8.373337021922907e-07,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:180)len=83,8.373337021922907e-07,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:180)len=83,0.006886472467690229,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (96:98)len=3,8.373337021922907e-07,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:180)len=83,,,,,,,
4,,,,,,,,,,,,,4.014328181969393e-07,0.012841161548340875,4.014328181969393e-07,,9.606934717534427e-07,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:181)len=84,1.362126289950382e-06,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (99:179)len=81,0.012842122241812628,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (65:67)len=3,1.362126289950382e-06,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (99:179)len=81,,,,,,,
5,,,,,,,,,,,,,1.7458208156294476e-07,0.0251562691212894,1.7458208156294476e-07,,1.362126289950382e-06,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (99:179)len=81,1.5367083715133268e-06,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:178)len=81,0.025157631247579353,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (97:99)len=3,1.5367083715133268e-06,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:178)len=81,,,,,,,
6,,,,,,,,,,,,,5.999998821749457e-08,0.02656739330626711,5.999998821749457e-08,,1.5367083715133268e-06,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (98:178)len=81,1.5967083597308213e-06,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (99:180)len=82,0.026568930014638625,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (160:162)len=3,1.5967083597308213e-06,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(2): (99:180)len=82,,,,,,,
7,,,,,,"[0.76362874 0.76361516 0.76363735 0.74620091 0.75494593 0.75495914
 0.7636811  0.76368007 0.76369024 0.76369554 0.76362342 0.7636675
 0.76365377 0.75489552 0.75491109 0.75492312 0.7549002  0.75495205
 0.76365488 0.76366735 0.75493687 0.75489507 0.75492497 0.76366154
 0.77241272 0.77235542 0.76363022 0.75493425 0.75489454 0.75492302
 0.75495779 0.75496328 0.75495041 0.75489185 0.75495781 0.76365272
 0.75490519 0.76364945 0.75493277 0.76363732 0.7636364  0.76364452
 0.76366961 0.75495269 0.76367408 0.76364995 0.75488903 0.75496137
 0.75494076 0.7549295  0.75491928 0.7549065  0.75493257 0.74620057
 0.74618695 0.75492565 0.75493132 0.7637003  0.75489518 0.75493121
 0.754909   0.75489922 0.76367574 0.7637006  0.754948   0.75487936
 0.75488955 0.75491796 0.75488262 0.76369444 0.75494153 0.74615902
 0.74618798 0.75487773 0.75488813 0.75494417 0.16071722 0.16074326
 0.16069898 0.16069745 0.1607061  0.16074271]:b'\x03\xe6\xe6\x8b\xa5o\xe8?\xc7.\xcf\x11\x89o\xe8?\xa6(\xdf\x96\xb7o\xe8?Oya\xbb\xe0\xe0\xe7?v\x8bw]\x84(\xe8?\xcc1\xa1\x0f\xa0(\xe8?\xcb<\xb3W\x13p\xe8?\x9c7l0\x11p\xe8?\xca9F\x84&p\xe8?u\xa6\xdd\xa01p\xe8?9\x16\x9c`\x9ao\xe8?\xdd\xcf\xd8\xd1\xf6o\xe8?qw\xe6\x06\xdao\xe8?\x8c\xb2k\xa5\x1a(\xe8?x\x00\xbaM;(\xe8?%W:\x89T(\xe8?1\x92\xc6u$(\xe8?MC\x056\x91(\xe8?\x01\xa6GZ\xdco\xe8?\xad.\xfe\x80\xf6o\xe8?Ce\xef_q(\xe8?i|\xcc\xb5\x19(\xe8?\xc9P\xffjX(\xe8?3\x18pT\xeao\xe8?\x07\x9c?\xdf\x9a\xb7\xe8?3\xe1\xf7\xb5""\xb7\xe8?x%6\xa7\xa8o\xe8?\xfd\x8f""\xdek(\xe8?0\xc6\x9a\x98\x18(\xe8?\x11x]QT(\xe8?\xac8K?\x9d(\xe8?\x13Wa\xbe\xa8(\xe8?\x85^r\xc5\x8d(\xe8?\xcf\xcf\x85\xf3\x12(\xe8?\xa9\x97\x95I\x9d(\xe8?\xd9ed\xd2\xd7o\xe8?X\xb8?\xec.(\xe8?""\xf7\x1f\xf7\xd0o\xe8?\x88P\xd3\xc2h(\xe8?<\x1c\xa4\x89\xb7o\xe8?\x8e\xa3*\x9d\xb5o\xe8?^\x9bv\xa2\xc6o\xe8?z\xa0\xcd=\xfbo\xe8?P/\x8c\x8c\x92(\xe8?\xf9\xc1n\x9e\x04p\xe8?<J\x9e\x05\xd2o\xe8?`\x9bI\x0c\r(\xe8?/\x975\xbf\xa4(\xe8?\xb5\xb7\xe8\x88y(\xe8?>\x8f\x7f\xeaa(\xe8?\x86\x1d\xb7zL(\xe8?WN\xe2\xad1(\xe8?\xf1CsZh(\xe8?\x89\xcb&\x02\xe0\xe0\xe7?\xc1\x03kv\xc3\xe0\xe7?\xc6\xfa\x1a\xd6Y(\xe8?Ux\xa0\xbae(\xe8?z\xafR\x9d;p\xe8?3\xb2!\xef\x19(\xe8?\xd6\xeb\xd2\x7fe(\xe8?\x8e\xe5\x87\xed6(\xe8?\x8b\xfcmj""(\xe8?s\\\xc4\x1a\x08p\xe8?\xd9\xf1\x07?<p\xe8?dG_\xb3\x88(\xe8?&\xe8\x84\xc2\xf8\'\xe8?\t\xa0!""\x0e(\xe8?e\x83\xab\xb4I(\xe8?M\xa5o\x96\xff\'\xe8?S%mP/p\xe8?\x7f8\x0f#{(\xe8?\xa8\xb93\xe2\x88\xe0\xe7?\x84[\xc1\x9a\xc5\xe0\xe7?\x82\x07[V\xf5\'\xe8?\xd3&9$\x0b(\xe8?V\xbf5\xac\x80(\xe8?\x0c\xa3\x95\xbaa\x92\xc4?\x1e\x92*,<\x93\xc4?W\x1e\xd6\xbf\xc8\x91\xc4?`b\xdf\xe2\xbb\x91\xc4?<\xd0\x98x\x04\x92\xc4?\x1f\x98\x1b\x947\x93\xc4?'",82.0,16.05581021308899,11.426025629043579,24.379165410995483,0.31594038009643555,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.006243566767554271,0.021882731384540784,7.438879832547419e-05,,0.004765396599763674,(ddd1dfb2-3b98-4ef8-aaf6-1a26146d3f31)_(2): (207:272)len=66,0.011008963367317945,(ab9099a4-35a2-40ae-aaf3-05535ec42e08)_(2): (184:278)len=95,0.026648127984304458,(43b7a3a6-9a8d-4a03-a80d-7b71d8f56413)_(2): (270:286)len=17,0.0048397853980891485,(ddd1dfb2-3b98-4ef8-aaf6-1a26146d3f31)_(2): (191:272)len=82,,,,,,,
9,,,,,,,,,,,,,0.00625642373263492,0.022010909079048818,7.579723238571381e-05,,0.004771033356036779,(ddd1dfb2-3b98-4ef8-aaf6-1a26146d3f31)_(2): (205:272)len=68,0.0110274570886717,(ab9099a4-35a2-40ae-aaf3-05535ec42e08)_(2): (184:277)len=94,0.026781942435085596,(43b7a3a6-9a8d-4a03-a80d-7b71d8f56413)_(2): (270:285)len=16,0.004846830588422493,(ddd1dfb2-3b98-4ef8-aaf6-1a26146d3f31)_(2): (190:272)len=83,,,,,,,
