,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,122.01127982139587,,,,,,,,,,,,,,,,,,,,,,,390.0,176.0,176.0,68640.0,78.0
1,,,,,,"(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(31): (107:147)len=41:b""H\xcf_\xaef\x99\xc4?le\xb5\x05\xf3s\xb8?R\xe86\x8d_\x0b\x85?\xa7\x90\xaf-\xd1\x13\xb2\xbf.\xeb8]\x9aK\xc3\xbf\xde\xe5\x01\xb0*\x10\xce\xbf\xd8\x14e\xc2q\x11\xd4\xbf\xbe\x91\xed:#c\xd9\xbf\xce\x00\xd5G\xf9\xac\xde\xbf\x800\tz\x1cD\xe1\xbf\xb9\xac\x1d \xf3\xdc\xe3\xbf\xfc^;\xff\x13o\xe6\xbf\xe9\x13\x92/\x15\xf9\xe8\xbf\xd81\xe8c\xc28\xeb\xbf\xc5c\xd4\xef\xa1\xa8\xed\xbfN\x18\x83=\xdc\x04\xf0\xbfUu\xea%!,\xf1\xbf\x7f\x06\xe5\xc7\xa9G\xf2\xbf\x9f\x05\xfcu\x02U\xf3\xbf\xc3G\xc4\x94H\x82\xf4\xbf?\x00\xa9M\x9c\\\xf5\xbf\xec\xd3\x96\xdf\x0e\xf9\xf5\xbfR\x87p'l\x9a\xf6\xbf0\x03\xdf~\n\x11\xf7\xbfEl\x0b*\x05\x98\xf7\xbf\xbdZI\x86w\x94\xf7\xbf}\xc4T\x9fP4\xf7\xbf<m\xe8\xc18\xd3\xf6\xbf\xdc\xba\x9b\xa7:D\xf6\xbf\xbam:]q\x8c\xf5\xbf?\xb2\x14$\x11\xb5\xf4\xbf\x89\xfc\xe9\xf5\xdd\xc3\xf3\xbf\x02\xfe\x84\x0e\x15\xbe\xf2\xbfm?t\x9c6~\xf1\xbf\xf7\xe5\xccv\x85^\xf0\xbf}l\xdc\xac\x0bi\xee\xbf\xaea\xa7\xd4\xfc\x03\xec\xbf\x13\x1b^\xd6\xe5\x90\xe9\xbfU\x84\x1f\xc5\xceN\xe7\xbf\xd8\xb9i3N\xc3\xe4\xbf\x9dH0\xd5\xcc\xfa\xe1\xbf""",41.0,40.97089600563049,56.38393497467041,63.246904134750366,0.742966890335083,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.10179754275187876,0.0,,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(31): (107:147)len=41,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(31): (107:147)len=41,0.10179754275187876,(504867ba-bf7b-439b-af9a-ea4b8acd4e10)_(14): (111:113)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(31): (107:147)len=41,,,,,,,
3,,,,,,"[0.35615509 0.335027   0.31416113 0.29358752 0.27334441 0.25347752
 0.23404034 0.2150954  0.19671585 0.17898717 0.16200887 0.14591684
 0.13083321 0.11690502 0.10429925 0.10077143 0.09112046 0.0832738
 0.07739345 0.07361411 0.07207528 0.07278226 0.07570618 0.08077339
 0.08786435 0.09682644 0.10251582 0.11490151 0.12863753 0.1435752
 0.15953937 0.17638936 0.19400726 0.20873225 0.2277576  0.24727558
 0.26722242 0.28754383 0.30819922 0.32914332 0.35034089]:b""\x96\x11\xfb\xbb>\xcb\xd6?\xe4?\x06\x1b\x15q\xd5?\xd5\xcd\x80L7\x1b\xd4?N\xdf\x01R#\xca\xd2?\t\x0b\x98\x89y~\xd1?\x86\xf2\xe5\xcb\xf98\xd0?\xcd\xf3\xcf\xa9\x08\xf5\xcd?\xf5k\x87\xf3>\x88\xcb?*A\x9e1\xfc-\xc9?N\xa5z8\r\xe9\xc6?)\xcb\xab\xeb\xb4\xbc\xc4?\x96\\\x98&g\xad\xc2?\xb5\xc0\x1ey$\xbf\xc0?\xba2e\xcc|\xed\xbd?Qt\xab [\xb3\xba?kvj\x08(\xcc\xb9?\xb5\xd8y\x98\xabS\xb7?=\xa1)ynQ\xb5?\xb3H\x8b\xa5\x0e\xd0\xb3?(Vn\xd3_\xd8\xb2?TI\xd1v\x86s\xb2?\xe6\x82d\xab\xdb\xa1\xb2?h/\x0e\xfcza\xb3?\x9dh\xa5\x88\x90\xad\xb4?\xe0\xbb\x9b3G~\xb6?\x06\xfc\xee \x9e\xc9\xb8?\xc5{\xf2\x0fz>\xba?Y\xcb\xc4a/j\xbd?X:\x02\xd11w\xc0?\xd9bA\x13\xac`\xc2?\x16L\x15F\xc9k\xc4?\xf0\xcf\xff.\xed\x93\xc6?\xc0z\xcf\xe2:\xd5\xc8?\xd3\xb2-\xfb\xbc\xb7\xca?#S\x9aB)'\xcd?\x93\xc9\x1e\xe7\xb9\xa6\xcf?\x0e!\x01\x11,\x1a\xd1?\xae\xc4\xd18\x1eg\xd2?\x89\xde\xad8\x89\xb9\xd3?\xf3\x00m%\xaf\x10\xd5?zb>4\xfck\xd6?""",41.0,44.03974223136902,58.030765771865845,59.427276372909546,0.8788378238677979,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.001004623142406574,0.07855960617919884,0.0004220585040508539,,0.002960598293173188,(82010c62-f5f5-4b22-ae8f-a8e0284d82e5)_(16): (110:147)len=38,0.003965221435579762,(96fc734d-a003-4d28-aa8f-3653c9af18f8)_(36): (108:148)len=41,0.08152020447237203,(9132b63e-f162-47e4-a9c3-49e03602f8ac)_(34): (35:37)len=3,0.003382656797224042,(a8e56e0c-20de-435d-a031-d750c40db9b4)_(36): (106:145)len=40,,,,,,,
5,,,,,,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(31): (107:109)len=3:b'H\xcf_\xaef\x99\xc4?le\xb5\x05\xf3s\xb8?R\xe86\x8d_\x0b\x85?',3.0,34.685341119766235,61.771132707595825,59.98201012611389,0.9497637748718262,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.020088547545390658,0.0,,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(31): (107:109)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(31): (107:109)len=3,0.020088547545390658,(5be6128e-18c2-4797-a142-ea7d17be3111)_(9): (13:15)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(31): (107:109)len=3,,,,,,,
7,,,,,,[0.35615509 0.335027   0.31416113]:b'\x96\x11\xfb\xbb>\xcb\xd6?\xe4?\x06\x1b\x15q\xd5?\xd5\xcd\x80L7\x1b\xd4?',3.0,42.20295476913452,61.452470779418945,59.27308797836304,0.6859452724456787,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0,0.0016454618855819341,0.0,,0.00040943520372097166,(fc377a4c-4a15-444d-a5e7-ce8a3a578a8e)_(14): (112:114)len=3,0.00040943520372097166,(fc377a4c-4a15-444d-a5e7-ce8a3a578a8e)_(14): (112:114)len=3,0.0020548970893029058,(bf85bf0e-ad64-456c-a10f-aa3ff0bbac67)_(24): (114:116)len=3,0.00040943520372097166,(fc377a4c-4a15-444d-a5e7-ce8a3a578a8e)_(14): (112:114)len=3,,,,,,,
9,,,,,,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(31): (107:109)len=3:b'H\xcf_\xaef\x99\xc4?le\xb5\x05\xf3s\xb8?R\xe86\x8d_\x0b\x85?',3.0,34.685341119766235,61.771132707595825,59.98201012611389,0.9497637748718262,,,,,,,,,,,,,,,,,,,,
