,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,122.72019672393799,,,,,,,,,,,,,,,,,,,,,,,300.0,385.0,118.5,37473.0,60.0
1,,,,,,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (48:76)len=29:b'\xcf\xf7S\xe3\xa5\x9b\xe8\xbf\xdfO\x8d\x97n\x12\xeb\xbf\xef\xa7\xc6K7\x89\xed\xbf\xcf\xf7S\xe3\xa5\x9b\xf0\xbf\xd7\xa3p=\n\xd7\xf1\xbf\xd7\xa3p=\n\xd7\xf1\xbf\xd7\xa3p=\n\xd7\xf1\xbf\xd7\xa3p=\n\xd7\xf1\xbf\xd7\xa3p=\n\xd7\xf1\xbf\x08\xac\x1cZd;\xf1\xbf\xcf\xf7S\xe3\xa5\x9b\xf0\xbf\x08\xac\x1cZd;\xf1\xbf\x08\xac\x1cZd;\xf1\xbf\x11X9\xb4\xc8v\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\xd7\xa3p=\n\xd7\xf1\xbf\xd7\xa3p=\n\xd7\xf1\xbf\xd7\xa3p=\n\xd7\xf1\xbf\xdfO\x8d\x97n\x12\xf3\xbf\xdfO\x8d\x97n\x12\xf3\xbf\x18\x04V\x0e-\xb2\xf3\xbf\xd7\xa3p=\n\xd7\xf1\xbf\xd7\xa3p=\n\xd7\xf1\xbf\xef\xa7\xc6K7\x89\xed\xbf\xaeG\xe1z\x14\xae\xe3\xbf\xaeG\xe1z\x14\xae\xe3\xbf\xfa~j\xbct\x93\xc8?\x11X9\xb4\xc8v\xe2?',29.0,13.96626877784729,24.078836679458618,24.544933557510376,0.4913911819458008,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.11398793198025231,0.0,,0.0,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (48:76)len=29,0.0,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (48:76)len=29,0.11398793198025231,(b74d0fb1-32e7-4629-afad-c1a606cb0fb3)_(1): (6:8)len=3,0.0,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (48:76)len=29,,,,,,,
3,,,,,,,,,,,,,0.0337904552934723,0.11398793198025237,0.0,,0.008447613823368061,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (49:76)len=28,0.04223806911684036,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (48:75)len=28,0.12243554580362043,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (80:82)len=3,0.008447613823368061,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (49:76)len=28,,,,,,,
4,,,,,,,,,,,,,0.11815688425671972,0.12243554580362037,0.0,,0.012616566099835469,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (46:76)len=31,0.1307734503565552,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (48:74)len=27,0.13505211190345584,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (0:2)len=3,0.012616566099835469,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (47:76)len=30,,,,,,,
5,,,,,,,,,,,,,0.13505211190345584,0.12660449808008778,0.016895227646736177,,0.012616566099835469,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (47:76)len=30,0.1476686780032913,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (19:47)len=29,0.13922106417992325,(972a8469-1641-4f82-ab9d-2434e465e150)_(1): (3:5)len=3,0.029511793746571646,(17e8392a-55ce-45db-ae87-e04ca2086977)_(7): (78:106)len=29,,,,,,,
6,,,,,,,,,,,,,0.13505211190345584,0.12232583653318713,0.012616566099835524,,0.016895227646736122,(9b4e2c24-9479-41e6-a927-7d9b6e0d2648)_(7): (40:76)len=37,0.15194733955019196,(6b65a6a4-8b81-48f6-a38a-088ca65ed389)_(1): (6:46)len=41,0.13922106417992325,(17fc695a-07a0-4a6e-a822-e8f36c031199)_(1): (84:86)len=3,0.029511793746571646,(17e8392a-55ce-45db-ae87-e04ca2086977)_(7): (79:106)len=28,,,,,,,
7,,,,,,"[0.54426769 0.54854635 0.54854635 0.54426769 0.53165112 0.52748217
 0.5147559  0.50630828 0.51903456 0.51903456 0.53582008 0.54854635
 0.56961053 0.58650576 0.59495337 0.59067471 0.59067471 0.5527153
 0.50213933 0.48941306 0.5147559  0.54854635 0.57805815 0.57805815
 0.58650576 0.58233681 0.56961053 0.56116292 0.56116292]:b'\\jo\x13\xa4j\xe1?\xb1\xae\\\x14\xb1\x8d\xe1?\xb1\xae\\\x14\xb1\x8d\xe1?\\jo\x13\xa4j\xe1?h>\x168I\x03\xe1?\x98J\xe0J""\xe1\xe0?\x1f\xce\xcf[\xe1x\xe0?\xfa\x95\xacm\xad3\xe0?t\x12\xbd\\\xee\x9b\xe0?t\x12\xbd\\\xee\x9b\xe0?82L%p%\xe1?\xb1\xae\\\x14\xb1\x8d\xe1?\xca\x12\xd9\xdd?:\xe2?\x13\x83\x1f\xba\xa7\xc4\xe2?8\xbbB\xa8\xdb\t\xe3?\xe3vU\xa7\xce\xe6\xe2?\xe3vU\xa7\xce\xe6\xe2?\x81\xa2\x92\x01\xd8\xaf\xe1?*\xa2v\x80\x86\x11\xe0?bK\xcc""\x8bR\xdf?\x1f\xce\xcf[\xe1x\xe0?\xb1\xae\\\x14\xb1\x8d\xe1?\xefJ\xfc\xcbs\x7f\xe2?\xefJ\xfc\xcbs\x7f\xe2?\x13\x83\x1f\xba\xa7\xc4\xe2?C\x8f\xe9\xcc\x80\xa2\xe2?\xca\x12\xd9\xdd?:\xe2?\xa6\xda\xb5\xef\x0b\xf5\xe1?\xa6\xda\xb5\xef\x0b\xf5\xe1?'",29.0,13.99398922920227,23.209173917770386,25.408406019210815,0.4682457447052002,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.029621503017004946,0.029621503017004835,0.0,,0.02106417992320353,(b74d0fb1-32e7-4629-afad-c1a606cb0fb3)_(1): (6:57)len=52,0.050685682940208476,(1d48a071-ab61-47b1-a93b-4c3220500494)_(9): (89:139)len=51,0.050685682940208365,(17fc695a-07a0-4a6e-a822-e8f36c031199)_(1): (84:86)len=3,0.02106417992320353,(39669fa7-5997-4043-a3b1-025bfff9f585)_(9): (12:40)len=29,,,,,,,
9,,,,,,,,,,,,,0.029621503017004946,0.029621503017004946,0.0,,0.02106417992320353,(b74d0fb1-32e7-4629-afad-c1a606cb0fb3)_(1): (6:58)len=53,0.050685682940208476,(1d48a071-ab61-47b1-a93b-4c3220500494)_(9): (89:140)len=52,0.050685682940208476,(972a8469-1641-4f82-ab9d-2434e465e150)_(1): (83:85)len=3,0.02106417992320353,(39669fa7-5997-4043-a3b1-025bfff9f585)_(9): (15:44)len=30,,,,,,,
10,,,,,,,,,,,,,0.029621503017004946,0.029621503017004946,0.0,,0.02106417992320353,(b74d0fb1-32e7-4629-afad-c1a606cb0fb3)_(1): (6:59)len=54,0.050685682940208476,(1d48a071-ab61-47b1-a93b-4c3220500494)_(9): (89:141)len=53,0.050685682940208476,(9a1de644-815e-46d1-ab8f-aa1837f8a88b)_(1): (5:7)len=3,0.02106417992320353,(39669fa7-5997-4043-a3b1-025bfff9f585)_(9): (16:44)len=29,,,,,,,
11,,,,,,,,,,,,,0.029621503017004946,0.033790455293472244,0.0,,0.02106417992320353,(b74d0fb1-32e7-4629-afad-c1a606cb0fb3)_(1): (6:62)len=57,0.050685682940208476,(17e8392a-55ce-45db-ae87-e04ca2086977)_(7): (92:112)len=21,0.05485463521667577,(bd9c66b3-ad3c-4d6d-aa3d-1fa7bc8960a9)_(1): (82:84)len=3,0.02106417992320353,(39669fa7-5997-4043-a3b1-025bfff9f585)_(9): (16:45)len=30,,,,,,,
12,,,,,,,,,,,,,0.029621503017004946,0.033790455293472244,0.00010970927043318923,,0.02106417992320353,(b74d0fb1-32e7-4629-afad-c1a606cb0fb3)_(1): (6:63)len=58,0.050685682940208476,(17e8392a-55ce-45db-ae87-e04ca2086977)_(7): (92:113)len=22,0.05485463521667577,(17fc695a-07a0-4a6e-a822-e8f36c031199)_(1): (4:6)len=3,0.02117388919363672,(39669fa7-5997-4043-a3b1-025bfff9f585)_(9): (15:42)len=28,,,,,,,
13,,,,,,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (194:204)len=11:b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xdb\xf9~j\xbct\xa3?\x83\xc0\xca\xa1E\xb6\xb3?\x83\xc0\xca\xa1E\xb6\xb3?\x83\xc0\xca\xa1E\xb6\xb3?\x83\xc0\xca\xa1E\xb6\xb3?\xdb\xf9~j\xbct\xa3?\x83\xc0\xca\xa1E\xb6\xb3?',11.0,12.299504280090332,23.809277772903442,25.171453952789307,0.4484686851501465,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,0.004278661546900708,0.004278661546900708,0.0,,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:204)len=8,0.004278661546900708,(ecab3301-bc8f-4d29-adea-94930658663a)_(6): (21:29)len=9,0.004278661546900708,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (0:2)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:207)len=11,,,,,,,
15,,,,,,,,,,,,,0.004278661546900708,0.004278661546900708,0.0,,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:205)len=9,0.004278661546900708,(ecab3301-bc8f-4d29-adea-94930658663a)_(6): (21:30)len=10,0.004278661546900708,(972a8469-1641-4f82-ab9d-2434e465e150)_(1): (3:5)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:206)len=10,,,,,,,
16,,,,,,,,,,,,,0.004278661546900708,0.008447613823368116,0.0,,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:206)len=10,0.004278661546900708,(ecab3301-bc8f-4d29-adea-94930658663a)_(6): (21:31)len=11,0.008447613823368116,(bd9c66b3-ad3c-4d6d-aa3d-1fa7bc8960a9)_(1): (82:84)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (193:204)len=12,,,,,,,
17,,,,,,,,,,,,,0.004278661546900708,0.012616566099835413,0.0,,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:207)len=11,0.004278661546900708,(5be6128e-18c2-4797-a142-ea7d17be3111)_(1): (117:125)len=9,0.012616566099835413,(17fc695a-07a0-4a6e-a822-e8f36c031199)_(1): (4:6)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (194:204)len=11,,,,,,,
18,,,,,,,,,,,,,0.004278661546900708,0.012616566099835413,0.0,,0.0,(4b0dbb41-8d52-48f1-a42c-3fe860e7a113)_(1): (258:264)len=7,0.004278661546900708,(5be6128e-18c2-4797-a142-ea7d17be3111)_(1): (117:126)len=10,0.012616566099835413,(9a1de644-815e-46d1-ab8f-aa1837f8a88b)_(1): (5:7)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (194:205)len=12,,,,,,,
19,,,,,,"[0.58650576 0.59495337 0.59067471 0.59067471 0.5527153  0.50213933
 0.48941306 0.5147559  0.54854635 0.57805815 0.57805815]:b'\x13\x83\x1f\xba\xa7\xc4\xe2?8\xbbB\xa8\xdb\t\xe3?\xe3vU\xa7\xce\xe6\xe2?\xe3vU\xa7\xce\xe6\xe2?\x81\xa2\x92\x01\xd8\xaf\xe1?*\xa2v\x80\x86\x11\xe0?bK\xcc""\x8bR\xdf?\x1f\xce\xcf[\xe1x\xe0?\xb1\xae\\\x14\xb1\x8d\xe1?\xefJ\xfc\xcbs\x7f\xe2?\xefJ\xfc\xcbs\x7f\xe2?'",11.0,12.825726747512817,23.26676917076111,24.91131043434143,0.45253777503967285,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,0.054744925946242584,0.033680746023039054,0.0,,0.012726275370268714,(94a1875d-2db6-4edb-a2de-ffccf86c2ca2)_(6): (27:35)len=9,0.0674712013165113,(30a900ad-939b-462d-a645-f129629c2ae3)_(7): (161:185)len=25,0.04640702139330777,(17fc695a-07a0-4a6e-a822-e8f36c031199)_(1): (84:86)len=3,0.012726275370268714,(94a1875d-2db6-4edb-a2de-ffccf86c2ca2)_(6): (27:36)len=10,,,,,,,
21,,,,,,,,,,,,,0.054744925946242584,0.03795940756993976,0.004168952276467408,,0.012726275370268714,(94a1875d-2db6-4edb-a2de-ffccf86c2ca2)_(6): (27:36)len=10,0.0674712013165113,(30a900ad-939b-462d-a645-f129629c2ae3)_(7): (161:186)len=26,0.050685682940208476,(972a8469-1641-4f82-ab9d-2434e465e150)_(1): (83:85)len=3,0.016895227646736122,(94a1875d-2db6-4edb-a2de-ffccf86c2ca2)_(6): (27:37)len=11,,,,,,,
22,,,,,,,,,,,,,0.05902358749314329,0.03795940756993976,0.004168952276467408,,0.012726275370268714,(94a1875d-2db6-4edb-a2de-ffccf86c2ca2)_(6): (28:35)len=8,0.071749862863412,(3270e4fa-abae-4f43-acae-8081bdf070aa)_(7): (47:64)len=18,0.050685682940208476,(9a1de644-815e-46d1-ab8f-aa1837f8a88b)_(1): (5:7)len=3,0.016895227646736122,(b74d0fb1-32e7-4629-afad-c1a606cb0fb3)_(1): (49:60)len=12,,,,,,,
23,,,,,,,,,,,,,0.05902358749314329,0.04212835984640706,0.004168952276467408,,0.012726275370268714,(94a1875d-2db6-4edb-a2de-ffccf86c2ca2)_(6): (28:36)len=9,0.071749862863412,(3270e4fa-abae-4f43-acae-8081bdf070aa)_(7): (47:65)len=19,0.05485463521667577,(bd9c66b3-ad3c-4d6d-aa3d-1fa7bc8960a9)_(1): (82:84)len=3,0.016895227646736122,(b74d0fb1-32e7-4629-afad-c1a606cb0fb3)_(1): (49:59)len=11,,,,,,,
24,,,,,,,,,,,,,0.05902358749314329,0.04212835984640706,0.004168952276467408,,0.012726275370268714,(94a1875d-2db6-4edb-a2de-ffccf86c2ca2)_(6): (29:35)len=7,0.071749862863412,(30a900ad-939b-462d-a645-f129629c2ae3)_(7): (161:184)len=24,0.05485463521667577,(17fc695a-07a0-4a6e-a822-e8f36c031199)_(1): (4:6)len=3,0.016895227646736122,(b74d0fb1-32e7-4629-afad-c1a606cb0fb3)_(1): (49:58)len=10,,,,,,,
25,,,,,,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (194:204)len=11:b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xdb\xf9~j\xbct\xa3?\x83\xc0\xca\xa1E\xb6\xb3?\x83\xc0\xca\xa1E\xb6\xb3?\x83\xc0\xca\xa1E\xb6\xb3?\x83\xc0\xca\xa1E\xb6\xb3?\xdb\xf9~j\xbct\xa3?\x83\xc0\xca\xa1E\xb6\xb3?',11.0,12.299504280090332,23.809277772903442,25.171453952789307,0.4484686851501465,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,0.004278661546900708,0.004278661546900708,0.0,,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:204)len=8,0.004278661546900708,(ecab3301-bc8f-4d29-adea-94930658663a)_(6): (21:29)len=9,0.004278661546900708,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (0:2)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:207)len=11,,,,,,,
27,,,,,,,,,,,,,0.004278661546900708,0.004278661546900708,0.0,,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:205)len=9,0.004278661546900708,(ecab3301-bc8f-4d29-adea-94930658663a)_(6): (21:30)len=10,0.004278661546900708,(972a8469-1641-4f82-ab9d-2434e465e150)_(1): (3:5)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:206)len=10,,,,,,,
28,,,,,,,,,,,,,0.004278661546900708,0.008447613823368116,0.0,,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:206)len=10,0.004278661546900708,(ecab3301-bc8f-4d29-adea-94930658663a)_(6): (21:31)len=11,0.008447613823368116,(bd9c66b3-ad3c-4d6d-aa3d-1fa7bc8960a9)_(1): (82:84)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (193:204)len=12,,,,,,,
29,,,,,,,,,,,,,0.004278661546900708,0.012616566099835413,0.0,,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (197:207)len=11,0.004278661546900708,(5be6128e-18c2-4797-a142-ea7d17be3111)_(1): (117:125)len=9,0.012616566099835413,(17fc695a-07a0-4a6e-a822-e8f36c031199)_(1): (4:6)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (194:204)len=11,,,,,,,
30,,,,,,,,,,,,,0.004278661546900708,0.012616566099835413,0.0,,0.0,(4b0dbb41-8d52-48f1-a42c-3fe860e7a113)_(1): (258:264)len=7,0.004278661546900708,(5be6128e-18c2-4797-a142-ea7d17be3111)_(1): (117:126)len=10,0.012616566099835413,(9a1de644-815e-46d1-ab8f-aa1837f8a88b)_(1): (5:7)len=3,0.0,(35ce8841-4973-4d6c-adca-bfb7001a9a8b)_(7): (194:205)len=12,,,,,,,
