,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,2473.291504383087,,,,,,,,,,,,,,,,,,,,,,,250.0,720.0,720.0,180000.0,54.0
1,,,,,,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (394:557)len=164:b'.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf\x0e\x11\x9a\xd1M\xea\xe2\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf.Ef\xecS\xa7\xbb\xbf',164.0,765.7566299438477,831.2169144153595,581.2848722934723,6.909292459487915,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.009044328866982714,0.0,,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (456:617)len=162,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (456:617)len=162,0.009044328866982714,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (0:2)len=3,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (456:620)len=165,,,,,,,
3,,,,,,,,,,,,,0.0,0.009044328866982714,0.0,,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (456:618)len=163,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (456:618)len=163,0.009044328866982714,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (80:82)len=3,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (456:619)len=164,,,,,,,
4,,,,,,,,,,,,,0.0,0.009044328866982714,0.0,,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (456:619)len=164,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (456:619)len=164,0.009044328866982714,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (160:162)len=3,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (457:619)len=163,,,,,,,
5,,,,,,,,,,,,,0.0,0.009044328866982714,0.0,,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (456:620)len=165,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (457:618)len=162,0.009044328866982714,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (240:242)len=3,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (458:621)len=164,,,,,,,
6,,,,,,,,,,,,,0.0,0.009044328866982714,0.0,,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (456:621)len=166,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (457:619)len=163,0.009044328866982714,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (320:322)len=3,0.0,(b227462c-f53d-4330-adda-24ba2d06e8cf)_(2): (380:542)len=163,,,,,,,
7,,,,,,"[0.23000426 0.19778756 0.19778756 0.23000426 0.19778756 0.19778756
 0.19778756 0.19778756 0.18167921 0.18167921 0.18167921 0.18167921
 0.18167921 0.18167921 0.16557085 0.18167921 0.16557085 0.16557085
 0.16557085 0.16557085 0.16557085 0.16557085 0.16557085 0.16557085
 0.1494625  0.16557085 0.1494625  0.16557085 0.1494625  0.16557085
 0.1494625  0.1494625  0.16557085 0.1494625  0.1494625  0.1494625
 0.1494625  0.1494625  0.1494625  0.1494625  0.1494625  0.1494625
 0.1494625  0.1494625  0.13335415 0.1494625  0.1494625  0.1494625
 0.1494625  0.13335415 0.1494625  0.1494625  0.1494625  0.13335415
 0.1494625  0.13335415 0.1494625  0.1494625  0.13335415 0.1494625
 0.13335415 0.1494625  0.1494625  0.13335415 0.1494625  0.13335415
 0.1494625  0.13335415 0.1494625  0.13335415 0.1494625  0.13335415
 0.1494625  0.13335415 0.1494625  0.13335415 0.1494625  0.13335415
 0.13335415 0.1494625  0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.1494625  0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415 0.13335415
 0.13335415 0.13335415]:b'\xcf\xf1&\x8e\xc7p\xcd?D%\nG\x1aQ\xc9?D%\nG\x1aQ\xc9?\xcf\xf1&\x8e\xc7p\xcd?D%\nG\x1aQ\xc9?D%\nG\x1aQ\xc9?D%\nG\x1aQ\xc9?D%\nG\x1aQ\xc9?\xdf\xd3\xa2\xa2CA\xc7?\xdf\xd3\xa2\xa2CA\xc7?\xdf\xd3\xa2\xa2CA\xc7?\xdf\xd3\xa2\xa2CA\xc7?\xdf\xd3\xa2\xa2CA\xc7?\xdf\xd3\xa2\xa2CA\xc7?{\x82;\xfel1\xc5?\xdf\xd3\xa2\xa2CA\xc7?{\x82;\xfel1\xc5?{\x82;\xfel1\xc5?{\x82;\xfel1\xc5?{\x82;\xfel1\xc5?{\x82;\xfel1\xc5?{\x82;\xfel1\xc5?{\x82;\xfel1\xc5?{\x82;\xfel1\xc5?\x8a\xf5*Z\x96!\xc3?{\x82;\xfel1\xc5?\x8a\xf5*Z\x96!\xc3?{\x82;\xfel1\xc5?\x8a\xf5*Z\x96!\xc3?{\x82;\xfel1\xc5?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?{\x82;\xfel1\xc5?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\x8a\xf5*Z\x96!\xc3?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?\xd2\xcaE\xb6\xbf\x11\xc1?'",164.0,797.131023645401,759.6692538261414,591.0304234027863,6.497696876525879,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.013025991738965917,0.018215126726311606,0.0004196358637644929,,0.0034658240962243576,(74962764-12a4-4ef0-a4bb-b7a9d98868dd)_(2): (306:584)len=279,0.016491815835190275,(edcd465e-3638-4821-a6e0-7cc06c52c49f)_(1): (527:576)len=50,0.021680950822535964,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (0:2)len=3,0.0038854599599888505,(74962764-12a4-4ef0-a4bb-b7a9d98868dd)_(2): (307:470)len=164,,,,,,,
9,,,,,,,,,,,,,0.013061232928457829,0.01821170006474964,0.0004215530806929565,,0.0034692507577863247,(74962764-12a4-4ef0-a4bb-b7a9d98868dd)_(2): (306:583)len=278,0.016530483686244154,(edcd465e-3638-4821-a6e0-7cc06c52c49f)_(1): (527:575)len=49,0.021680950822535964,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (80:82)len=3,0.003890803838479281,(74962764-12a4-4ef0-a4bb-b7a9d98868dd)_(2): (307:469)len=163,,,,,,,
