,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,5100.987504005432,,,,,,,,,,,,,,,,,,,,,,,1000.0,128.0,128.0,128000.0,204.0
1,,,,,,"(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (49:89)len=41:b""t\xf8Z\x86\xee(\xf8\xbft\xf8Z\x86\xee(\xf8\xbft\xf8Z\x86\xee(\xf8\xbft\xf8Z\x86\xee(\xf8\xbft\xf8Z\x86\xee(\xf8\xbf\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?o_5\x06\x05\xf4\xb2?\xb3S\xffb\xae\xf3\xb9\xbfU*\xd1',\xd0\xce\xbf\x18z\x82\xcc\xe7\xbf\xd1?d\xb6\xbf\x0e\xf7\xac\xd8?\r\xe5\xe1\x90O@\xd6?\x90\xc1H7\xdb\x7f\xe1\xbf\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?\n-\xeb\xfe\xb1\x10\xf8?t\xf8Z\x86\xee(\xf8\xbft\xf8Z\x86\xee(\xf8\xbf""",41.0,54.31112575531006,79.32404923439026,84.83138012886047,1.592024326324463,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.12465800105633704,0.0,,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (40:88)len=49,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (49:88)len=40,0.12465800105633704,(d72b6108-2a40-4f12-a963-f37f67814c1f)_(2): (88:90)len=3,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (53:92)len=40,,,,,,,
3,,,,,,,,,,,,,0.0,0.1311832023052163,0.0,,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (40:89)len=50,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (49:89)len=41,0.1311832023052163,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(1): (27:29)len=3,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (53:93)len=41,,,,,,,
4,,,,,,,,,,,,,0.008251206214377905,0.14492416233852004,0.0,,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (40:90)len=51,0.008251206214377905,(5fa5e0aa-9b11-4530-ad24-7c11bf6b8cdf)_(2): (72:112)len=41,0.14492416233852004,(96ef2ad6-b97e-4703-a6c8-adfe7bf47042)_(1): (74:76)len=3,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (53:94)len=42,,,,,,,
5,,,,,,,,,,,,,0.008353072957765287,0.1490859305297376,0.0,,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (40:91)len=52,0.008353072957765287,(5fa5e0aa-9b11-4530-ad24-7c11bf6b8cdf)_(2): (72:111)len=40,0.1490859305297376,(de9e3757-5260-401e-aecf-67d2749176f4)_(2): (85:87)len=3,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (47:88)len=42,,,,,,,
6,,,,,,,,,,,,,0.0194270388583691,0.15121800648828304,0.0,,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (40:92)len=53,0.0194270388583691,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (49:87)len=39,0.15121800648828304,(e82c7d7b-06e7-45f9-a8bc-539c9f4c3b79)_(2): (90:92)len=3,0.0,(86341718-2ba6-4db3-aafe-b1149561c813)_(2): (48:88)len=41,,,,,,,
7,,,,,,"[0.46033176 0.32195246 0.48453402 0.55560398 0.38550275 0.42902298
 0.46485807 0.46716526 0.53957064 0.38146334 0.44684948 0.67234276
 0.51202567 0.55148668 0.3831867  0.45151053 0.55440827 0.6119834
 0.51475346 0.58385664 0.49977322 0.37812402 0.52073655 0.46804078
 0.50026279 0.568209   0.53186888 0.47291033 0.52360849 0.55060505
 0.11498852 0.11498852 0.11498852 0.11498852 0.11498852 0.11498852
 0.11498852 0.11498852 0.11498852 0.11498852 0.11498852]:b""X=lW\x13v\xdd?y\xf6\xb4x\xde\x9a\xd4?^\xfb\x81\xf6\x9a\x02\xdf?h\x82m\x00\x82\xc7\xe1?\x06\x17g\xb6\x13\xac\xd8?A\x95\x1b\xcd\x1cu\xdb?\xec\xd7\xd5\x13<\xc0\xdd?9\xd4;#\t\xe6\xdd?\x97\xd1\x1f\xa3)D\xe1?]\xd104\xe5i\xd8?\x8b7\xda\x94.\x99\xdc?\xb9\xaf\x9d\xf6\xd4\x83\xe5?\x86\xa1\x16\xab\x83b\xe0?\xc0\xa9\xfcc\xc7\xa5\xe1?\xf1\x8dm\x87!\x86\xd8?!\x07[h\x8c\xe5\xdc?\xe7\x93,k\xb6\xbd\xe1?k\xfd_6^\x95\xe3?Se\x8a?\xdcx\xe0?\xae\x08\xd1\x1e\xf4\xae\xe2?\xfc\x02O\xceH\xfc\xdf?\x983\xf7\x1a/3\xd8?i\x86\xae\xb0\xdf\xa9\xe0?\xda\x1b\xa2La\xf4\xdd?\xe1A\xde\x1c'\x02\xe0?\x86\x83\xf1\xa3\xc4.\xe2?\x1e\xaf\xab\xe3\x11\x05\xe1?\x18P\xb0\xab)D\xde?MA\xcb\x96f\xc1\xe0?}rPy\x8e\x9e\xe1?A\xf0\x0c?\xe3o\xbd?A\xf0\x0c?\xe3o\xbd?A\xf0\x0c?\xe3o\xbd?A\xf0\x0c?\xe3o\xbd?A\xf0\x0c?\xe3o\xbd?A\xf0\x0c?\xe3o\xbd?A\xf0\x0c?\xe3o\xbd?A\xf0\x0c?\xe3o\xbd?A\xf0\x0c?\xe3o\xbd?A\xf0\x0c?\xe3o\xbd?A\xf0\x0c?\xe3o\xbd?""",41.0,52.5970938205719,80.99213123321533,94.56442284584045,1.711416482925415,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.00325039335315162,0.026644641130376866,0.0001641879508162778,,0.014742695994125476,(88575117-6155-4667-a112-507c2cfa55b0)_(3): (52:87)len=36,0.017993089347277096,(ec50ace4-80a5-4e65-afa2-855967c96204)_(4): (7:56)len=50,0.04138733712450234,(1d9af659-82ec-4f2d-abf6-e16f9b3080d5)_(2): (21:23)len=3,0.014906883944941754,(1a432f0a-7daa-49f0-a0b6-fce2de53790a)_(2): (4:43)len=40,,,,,,,
9,,,,,,,,,,,,,0.0032526025554800945,0.02675676993888696,0.00016251936718369997,,0.014864835788504083,(88575117-6155-4667-a112-507c2cfa55b0)_(3): (52:86)len=35,0.018117438343984178,(ec50ace4-80a5-4e65-afa2-855967c96204)_(4): (7:55)len=49,0.04162160572739104,(a6eab79e-d21c-42f8-aada-4f80a9e782d4)_(4): (91:93)len=3,0.015027355155687783,(88575117-6155-4667-a112-507c2cfa55b0)_(3): (48:87)len=40,,,,,,,
